license_num,historicallicensenum,status,business_name,dba_name,location_comments,applicant,manager,evening_phone,address,Neighborhood,gpsx,gpsy
LB-469475,,Active,Archana Corp,EZ Market,"Premise is 77 Stoughton St Dorchester MA-Convenience Retail Store on 1st Floor consisting of approximately 2,570SF of land , storage located in the back of the store and two arrears of egress. ", Archana Corp, Devyani Patel,,77-   Stoughton ST,Boston,774452.8466,2940412.581
LB-476651,,Active,Scire Fruit,Going Bananas Market,"Premise consist of a grocery store consisting of sixteen hundred (1,600) square feet of space on the first floor and one (1,000) square feet of basement space located at 64 Salem Street unit C1, Boston, MA. "," Scire Fruit, INC", Frank Scire,,64-   Salem ST,Boston,776128.7092,2957760.704
LB-471198,,Active,Bella Haven Restaurant Group,The Haven at the Brewery,, Bella Haven Restaurant Group, Jason Waddleton,,284-  Amory ST,Jamaica Plain,763321.2917,2939914.809
LB-468134,,Active,Airist Boston Co Inc,Airist Boston,The Virgin Atlantic Club is located in Terminal E within the Logan Airport.  There are (2) entrances and exits within approximately 2956 SF Club Lounge. There is one level to the club.  There is one bar on the premise. Alcohol will be stored within a Locked Cabinet in the storeroom.  Seating Capacit, Airist Boston Co Inc, Ohkwan Kwon,,500     Logan Airport Terminal E  ,East Boston,0,0
LB-471191,,Active,"Bay Sweets, LLC",Bay Sweets Market,"Premise is 11,364SF total: 5,682SF in one main room on ground floor, main entrance/exit on Spring Street. Additional exit in rear. 5,682SF in basement for prep kitchen, storage and offices. "," Bay Sweets, LLC", Victor Leon,,120-   Spring ST,West Roxbury,746719.3242,2925961.612
LB-464488,,Active,"SODEXO OPERATIONS, LLC",Lufthansa Business Lounge,"6,796SF business lounge located within Terminal E of Logan International Airport providing food and beverages to airline passengers. Premise is one-story with a kitchen and a dining area. The seating count is 132 and the legal occupancy is 347. There are 4 entrances/exits to the premises.  "," Sodexo Operations, LLC", Kendra Lombard,,500     Logan Airport Terminal E  ,East Boston,0,0
LB-464464,,Active,Virpa Corp,Square Bites,"Premises is a 1 story preexisting structure containing approximately 3,335SF; 1,528SF in the store front and 1,807SF in the basement used for dry storage.  ", Virpa Corp, Disha Patel,,38-  Maverick SQ,East Boston,780671.3548,2960200.235
LB-457700,,Active,Mello Vibez Restaurant LLC,,"Dining room (18 Seats), Bar (6 seats), bathroom, kitchen and office.  Total seating capacity 26, Total square footage is 1,000SF.  Hours of operation:Mon- Fri 11am- 9pm, Sat 5pm-11pm, Sun 10am- 6pm", MELLO VIBEZ RESTAURANT LLC, Melissa Dell-Lamey,,473-   River ST,Mattapan,766324,2923040
LB-460883,,Active,"Food Fiesta Group, LLC",Casa Bonita Mexican Grill,," Food Fiesta Group, LLC", Felipe Duran,,1033-   Massachusetts AVE,Roxbury,773082.4204,2944516.32
LB-465577,,Active,Gelas Corp,Las Delicias Colombianas 2,"Premise contains one floor approximately 850sqft. One kitchen, seating capacity for 45; 2 bathrooms, one entrance/exit.", Gelas Corp, Miguel Angel Gallego,(857)342-7976,1231-  River ST,Hyde Park,758215.9289,2918586.323
LB-465562,,Active,"A&R Variety Store, Inc.",Roslindale Variety Store,"In one room on first floor, with entrance in front and emergency exit in rear, consisting of 1000SF. Storage in basement."," A&R Variety Store, Inc.", Anderson Diaz,,4254-   Washington ST,Boston,756556.0749,2929245.649
LB-461216,,Active,Massachusetts Fine Wine & Spirits LLC,Total Wine Spirits Beer & More,"The Leased Premises will be approximately 23,400 square feet of retail space on the first floor with 1 main entrance and 4 additional exists, storage, office, break room, restrooms, walk-in humidor, and wine education room. Closing hours are 10 p.m. (Mon.-Sat.), 8 p.m. (Sun.)."," Massachusetts Fine Wines & Spirits, LLC", Glenn Alan Straughn,,8C-  Allstate RD,Dorchester,774771.3119,2944547.464
LB-467591,,Active,Lenox Sophia LLC,Lenox Sophia,"1st floor of a 3 story mixed-sue commercial and residential building. Restaurant consists of 750SF open floor plan with kitchen and dining room (seating capacity of 20). Hours of operation Tuesday-Sunday 5:00PM-10:00PM, Sunday brunch 10:00AM-1:00PM. ", Lenox Sophia LLC, Shi Li Mei,,87-  A ST,South Boston,776588.2721,2950130.868
LB-464491,,Active,"AHF Speedway Holdings, LLC",Charles River Speedway,," AHF Speedway Holdings, LLC", Markos Doyle,,1420-1440   Soldiers Field RD,Brighton,752063.282,2957112.684
LB-462639,,Active,"Love Child, LLC",Love Child,"On one room on ground floor, main entrance/exit on West Broadway. Storage in basement.  "," Love Child, LLC", Crystal Mills,,364- W Broadway ,South Boston,778046.0495,2948568.542
LB-459546,,Active,New SS Group Inc.,S. S. Market,"Premises is a convenience store on one floor.  Total Square Footage 1,250. "," New S.S. Group, Inc", Sumon Kumar Nath,,1283-   River ST,Boston,757818.3313,2918504.397
LB-460882,,Active,Anthony's Market Inc.,Anthony's Market,, Anthony's Market Inc., Elis Fernandez,,407-   Meridian ST,East Boston,780722,2963980
LB-451072,,Active,Montecristo Mexican Grill LLC,,, Montecristo Mexican Grill LLC, Endis Elias Ventura,,748A     Huntington AVE,Boston,762836.3426,2946850.004
LB-459555,,Active,"TASTES ON THE FLY LOGAN, LLC",Stephanie's,"A 3,565 square foot restaurant on one floor in Terminal E at Logan Airport with 4 rooms including the kitchen. Seating Capacity 130.  "," Tastes on the Fly Logan, LLC", Antonio Alicea,,"      Logan Airport, Terminal E  ",East Boston,0,0
LB-454336,,Active,"JIMERSON ENTERPRISES, LLC",Larry J's BBQ Cafe,, Jimerson Enterprises LLC, LARRY JIMERSON,,600     D ST,South Boston,,
LB-445633,,Active,"CT Eatery, LLC.",Tradesman Charlestown,," CT Eatery, LLC.", MEVZAD DURAKOVIC,,50-  Hood Park Dr,Charlestown,771732.4872,2963863.375
LB-458000,,Active,Mattapan Gas Station Inc,Petro Plus Super Station,"1 story preexisting structure containing approximately 2,340SF with 1 room for retail and 2 rooms for dry storage. ", Mattapan Gas Station Inc., Kamini Y. Patel,,682-   Cummins HWY,Mattapan,763269,2924180
LB-454368,,Active,"BPM Events, LLC",Boston Public Market,," BPM Events, LLC", Philip Frattaroli,,100-  Hanover ST,Boston,775760.7847,2957310.544
LB-445209,,Active,Savin Crossing LLC.,The Nightly," Premises includes basement and second floor connected by rear staircase that also acts as an emergency means of egress.  Invitees enter front staircase/elevator. Basement includes 9 rooms (dining room/bar, k", Savin Crossing LLC, John C. McDonough,,102-110  Savin Hill AVE,Dorchester,776834.2798,2939007.905
LB-448032,,Active,"SS Investments East, Inc.",Dirty Water Dough Co.,"IN ONE ROOM ON THE FIRST FLOOR, KITCHEN & STORAGE IN THE REAR."," SS Investments East, Inc.",Samuel Sokol,,20-22   Maverick ST,East Boston,779905.0119,2960796.325
LB-447984,,Active,SOBOBISTRO LLC,CIBO BOSTON,"Restaurant on two floors (2,161 SF).  First floor to be occupied by a bar with seating, table seating (capacity 40), an open kitchen and food prep area and 2 bathrooms.  Basement to be occupied by refrigerators for food and beer storage, other storage, office, bathroom for staff, mechanical and prep", SOBOBISTRO LLC, MICHAEL NORTON,,69-   L ST,South Boston,781833,2947530
LB-457684,,Active,"Black Bottle Wines, LLC.",Corossol Wines,"located in one room on first floor consisting of 1,135SF, with storage, office and one restroom. "," Black Bottle Wines, LLC.", David Skerry,,899-  Congress ST,Boston,781172.4265,2952100.286
LB-420671,,Active,"DELTA AIR LINES, INC.",Delta Sky Club,"Logan Airport, Terminal A: in 15 rooms located on the third level of the main building above security checkpoint, containing bar, food and beverage areas, restrooms, showers, conference room, office, kitchen prep area and storage area. Seating capacity 405. Total capacity 610."," Delta Air Lines, Inc.", Rebecca Bassila,,      Logan Airport Terminal A  ,East Boston,0,0
LB-451415,,Active,Sugar Bowl Cafe LLC,The Sugar Bowl,"premise is a 2-room caf, consisting of 1,223 square feet.  The dining area is one room with seating for 19 (6 tables).  Serving breakfast and lunch (brunch on weekends) then close midday and reopen again in the evening. Hours of operation are 6:00am-12:00am. 
", Sugar Bowl Cafe LLC, Kathleen Baker,,857     Dorchester AVE,Dorchester,775981,2942480
LB-454574,,Active,Foodies South Boston LLC,Foodies Market,"16,000sf market including 2 floors; market on ground level, main entrance/exit on West Broadway; basement storage and offices.", Foodies South Boston LLC, Victor G. Leon,,230- W Broadway ,South Boston,777319.6989,2949180.992
LB-451073,,Active,Ashish Corp.,Orient Heights Food Market,"One story preexisting structure with basement storage/mechanical space.  First floor includes one room for the store, a private dry storage area and employee bathroom 1,734 Square Footage. ", Ashish Corp., Kamini Y. Patel,,1016-  Bennington ST,East Boston,789548.2446,2966467.833
LB-445759,,Active,Grove Hall Food Corp.,Grove Hall Convenience Market,, Grove Hall Food Corp., Edward Guerrero,,479-   Blue Hill AVE,Dorchester,768869.5478,2937826.365
LB-447986,,Active,"86 Mass Ave Wild Duck, Inc.",Wild Duck,"on one floor (3096 SF), consisting of a sales area with beverages and food displays, wine tasting area with bar-top seating, product gondolas, sixteen (16) product coolers, walk-in cooler, storage area with employee kitchen and lounge, restroom, and office."," 86 Mass Ave Wild Duck, Inc.", Lalit Verma,,86-   Massachusetts AVE,Boston,767493,2952360
LB-446060,,Active,"Panda Legend, Inc.",Kao BBQ,"The premises (located at 83-85 Harvard Ave)  is a single-story building with basement space; one entrance and two exits. The total square footage is about 2,200 with a seating capacity of 60."," Panda Legend, Inc.",David Q Liu,,83-   Harvard AVE,Boston,755534.5063,2954062.185
LB-445817,,Active,Top Mix LLC,Top Mix Bar & Kitchen JP,, Top Mix LLC, Joseph Correia,,365-  Centre ST,Jamaica Plain,762103.5358,2942812.697
LB-414789,,Active,"Tasty Burger 6, LLC",Tasty Burger,," Tasty Burger 6, LLC", Christopher Gotreau,,48     Winter ST,Boston,774581,2955010
LB-451411,,Active,Gaslight District LLC,Main Street Pasta & Wine,"It is one space consisting of two rooms, the room with windows on Main St will be the shop where fresh pasta is made and products sold.  The second room is smaller and will be used for storage. There is one employee lavatory.  All Shop space in on the ground level approx. 500 sqft. ", Gaslight District LLC, MATTHEW DELISLE,,40-   Main ST,Boston,774472.9477,2961261.606
LB-451414,,Active,"JAHO, INC.",Jaho Coffee Roaster & Wine Bar,," Jaho, Inc.", Anil Mezini,,1651-   Washington ST,Boston,770961.7196,2948445.121
LB-446754,,Active,"Tall Ship Restaurant, LLC",,," Tall Ship Restaurant, LLC"," C. CHARLES LARNER, III",,1-  East Pier Dr,East Boston,780157.4581,2958311.775
LB-445992,,Active,"Bunker Hill Restaurant, LLC",Monument Diner,"Total 1650 square feet on the first floor with restrooms, kitchen and bar. There is a preparation kitchen, restroom, and office in the basement which consist of 1,650 square feet. Total capacity of 79 occupants. (MAXIMUM CAPACITY OF 79-(65 SEATED; 14 STANDING)"," Bunker Hill Restaurant, LLC", Jon Sweeney,,231-  Bunker Hill St,Charlestown,774160.1344,2963611.895
LB-447985,,Active,Anjana Corporation,Neighborhood Convenience,"Retail Store on 1st Floor consisting of approximately 1100 square feet, storage located in basement and two arrears of egress. ", Anjana Corporation, MICHAEL GANNON,,165-   D ST,South Boston,776982.4178,2948020.342
LB-447983,,Active,"LOWER MILLS RESTAURANT GROUP, LLC",Pat's Pizza,," LOWER MILLS RESTAURANT GROUP, LLC", Patrick  Newell,6176920910,2254-   Dorchester AVE,Dorchester,773208,2924990
LB-447983,,Active,"LOWER MILLS RESTAURANT GROUP, LLC",Pat's Pizza,," LOWER MILLS RESTAURANT GROUP, LLC",Brendan Newell,6176920910,2254-   Dorchester AVE,Dorchester,773208,2924990
LB-445626,,Active,Ash and Ben LLC,Sushi Kappo,, Ash and Ben LLC, Leidy N. Ferrufino,,86-   Peterborough ST,Boston,764604.6432,2950309.372
LB-445823,,Active,Silver Nickel LLC,Union Park Pizza,"A single story building with one front entrance and a separate back entrance.  The unit to be licensed consists of approximately 1329 sq. ft. with seating for 16.  There is a prep kitchen, one employee bathroom in the back of house and a pizza kitchen, counter and small dining room in the front of ", Silver Nickel LLC, Joe Sylva,,1403-   Washington ST,Boston,772331.6519,2949687.389
LB-446829,,Active,"EBO & Co. Grocery, LLC.",EBO & Co. Grocery,"1,400sf: In one main room on ground level, approx. 640sf on first floor with main entrance/exit on Meridian St. Approx. 760sf of basement space for minimal retail, storage and office space. "," EBO & Co. Grocery, LLC.", ALEXIS CERVASIO,,110-   Meridian ST,Boston,780679.9439,2961261.503
LB-386592,,Active,Alliance World Corporation,La Catrina,825 square foot premises consisting of 2 floors. Restaurant located on main floor and has 1 bathroom. Basement for office prep and alcohol storage., Alliance World Corporation," Eddie O. Garcia, Jr.",(617)487-5060,1620-  Commonwealth AVE,Brighton,752787.4534,2950374.902
LB-439777,,Active,La Abundancia Bakery Corp,La Abundancia Restaurant,"One (1) large room (835 Net Sq. Ft.) split into two (2) areas divided by a serving counter and a display counter.  On one side of the counters, the seating area consists of five (5) tables of four (4) and one (1) table of two (2) seats.  This area is approximately 385 square feet.  The area on the o", La Abundancia Bakery Corp,"Nuri, E. Nuri E. Garcia Montano",,59-  Meridian ST,East Boston,780800.6448,2960828.119
LB-436364,,Active,MIMEBA Corp,El Penol Restaurant,"Traditional layout 2 exits, 2 bathrooms both ADA accessible on one floor with one kitchen, one prep room and storage in the basement.", MIMEBA CORP, MIGUEL A MEDINA,,54-   Bennington ST,East Boston,781244,2962310
LB-424993,,Active,"Boston Diner Group, LLC",Charlie's Sandwich Shoppe,"Kitchen, dining room with 1 entrance/exit on 1st floor basement with 1 entrance/exit. Approximately 2,267 sq. ft. total capacity 30."," Boston Diner Group, LLC",Damian Marciante,,429-   Columbus AVE,Boston,770312.4205,2950712.28
LB-433376,,Active,"Eagles Deli,Inc.",Eagles Deli,First floor with basement for storage + two bathrooms. 6:00 AM to 11:00 PM," EAGLES DELI, INC.", Yousaf Osmani,(617)731-3232,1918-  Beacon ST,Brighton,750989.1953,2947855.086
LB-441473,,Active,"NEWPOINT USA, LLC",My Happy Hunan Kitchen,"A single story building attached to the left and right units with a front entrance and a back entrance.  The units to be licensed consist of approximately 3.992 sq. ft.  There is a kitchen, two bathrooms, and one large room for dining and a second smaller room for dining, together holding approximat"," New Point USA, LLC", Frank Zhang,,1924-  Beacon ST,Brighton,750912.5966,2947814.74
LB-424338,,Active,"Jamaica Mi Hungry, LLC",Jamaica Mi Hungry,"Single floor operation with one dining room 32 person occupancy, Seasonal (April-October) outdoor patio on private property seating for 15 people (approx 150 sq. ft.)."," Jamaica Mi Hungry, LLC",Ernie Campbell,,225     Centre ST,Jamaica Plain,764594.7533,2943017.197
LB-432435,,Active,"J-Pizzle Boston, LLC",J-Pizle Kitchen,In one room on the first floor with kitchen in the rear and storage in the basement., J-Pizzle Boston LLC, Cindy Villada-Toro,,536-  Centre ST,Jamaica Plain,760760.4687,2940729.083
LB-439874,,Active,"Cafe Bonjour, Inc.",Cafe Bonjour,," Cafe Bonjour, Inc.", Driss Elmokri,,55-  Temple PL,Boston,774634.4348,2954667.114
LB-414874,,Active,"Delaware North Boston Flight, LLC",Alta Strada,"Restaurant/full bar concept in Terminal A, Space AM2-A03/29. On one floor in one room. Total square footage 2,643. Total seating 24 at bar (22 seats plus 2 ADA) 68 table seats."," Delaware North Boston Flight, LLC", Mark V. Clemency,,100     Terminal RD,East Boston,785396.804,2958229.843
LB-434282,,Active,"Blue Hills Liquors, Inc.",Discount Liquors,"Front area for sales, rear for storage separated by walk in cooler"," Blue Hills Liquors, Inc.", Narendrakumar Patel,,950     American Legion HWY,Roslindale,760421.0805,2925470.226
LB-427987,,Active,"The Daily Market, LLC","The Daily Market, LLC","The premises includes a portion of the basement (650SF), specifically three rooms consisting of back-of-the-house storage space (walk in cooler, walk in freezer, and kitchen and preparation area), and the entirety of the commercial habitable space on the first floor (3,215SF), specifically front of"," The Daily Market, LLC", John C. McDonough,,104-  Savin Hill AV,Dorchester,776838.3769,2939016.186
LB-418523,,Active,OLKA Corporation,7-Eleven,"Single floor convenience store approx 3,540 square feet.", OLKA Corporation, Oltion Kadilli,,55-   Berkeley ST,Boston,772279,2951600
LB-423824,,Active,"Nouria Energy Retail, Inc. ",Nouria 198 Western Avenue,, Nouria Energy Retail Inc., John Pszeniczny,,198-  Western AVE,Allston,756044.794,2957523.575
LB-410009,,Active,"SSP America BOS, LLC",Wahlburgers," 3,033 sq. ft. restaurant located within Terminal C of Logan International Airport. One story with a kitchen and dining area. Dining area is 2,254 sq. ft. and kitchen is 779 sq. ft. 1 entrance 1 exit."," SSP America BOS, LLC", Jacqueline Genao,,      Logan Airport 300 Terminal C  ,East Boston,0,0
LB-418633,,Active,"Shree Kano, Inc.",Jamie's Variety,On first floor of building; sales area with cooler (+/- 826 SF); basement for storage (+/- 582 SF).," Shree Kano, Inc.", Indravadan Patel,,113-   H ST,South Boston,780086,2947050
LB-414876,,Active,"Delaware North Boston Flight, LLC",B Good Burger,"Restaurant concept in Terminal A, Space AM2-A09/25. On one floor in one room. Total square footage 1,357. Total seating is 22 seats, which are all table seating."," Delaware North Boston Flight, LLC", Mark V. Clemency,,100     Terminal RD,East Boston,785396.804,2958229.843
LB-408105,,Active,"Delaware North Boston Flight, LLC",Mija Cantina,"Restaurant/full bar concept in Terminal C, Space CB-A17/49A in Boston Airport. On one floor in one room one entrance one exit. Total Square Footage 2,560."," Delaware North Boston Flight, LLC", Mark V. Clemency,,      Logan Airport Terminal C  ,East Boston,0,0
LB-400460,,Active,"HSI MCA BOS FB, LLC",Santarpio's Pizza,"Space CB2-A55 in Terminal C, Pier B at Loagan Airport 1,943 square feet."," HSI MCA BOS FB, LLC", SAIKOU BOIRO,,      Logan Airport Terminal C  ,East Boston,0,0
LB-398570,,Active,"Air Ventures, LLC",Not Your Average Joe's,"1 floor with a total of 4,000 sq. ft. with 1 entrance, 2 exits and seating capacity of 160. "," Air Ventures, LLC", Charles D. Garabedian,,      Logan Airport Terminal B  ,East Boston,0,0
LB-374985,,Active,"Bucktown Mission, LLC",Bucktown Chicken & Fish,"Approximately 1,200 square feet in one (1) room on ground floor of three story building with emergency exit and kitchen in rear of premises. Approximately 1,084 square feet of storage in the basement. Main entrance/exit on Tremont Street."," Bucktown Mission, LLC", Derrick A. Walters,,1522-   Tremont ST,Boston,764360.9938,2946346.91
LB-383185,,Active,"Nicholas Chen Sound, LLC",Tavern of Tales,"In eight rooms on ground floor with kitchen and bar, and office and storage (2,798 sf). Seasonal outdoor patio (April-November) on private property with seating for 24 patrons."," Nicholas Chen Sound, LLC", Nicholas Chen,,1478-1484  Tremont ST,Mission Hill,764681.0568,2946174.734
LB-390565,,Active,"SSP America BOS, LLC",Temazcal,"2,324 square foot area. 1,254 sf dining area with bar, 242 sf service area and 200 sf back of house. On one floor with two points of entry/exit."," SSP America BOS, LLC", Jacqueline Genao,,300     Logan Airport Terminal B  ,East Boston,0,0
LB-401642,,Active,"La Union Market and Butchery, Inc.",,"Ground floor store consisting of one (1) large room, approximately twelve hundred (1200) square feet, with an entrance in the front of the store. When you walk into the store, the check-out counter is on your right with a bathroom behind it. The store consists of three (3) aisles formed by shelving "," La Union Market and Butchery, Inc.", Hector O. Reyes,(617)448-5755,105     Chelsea ST,East Boston,781686.0936,2961092.034
LB-402436,,Active,"Delaware North Boston Flight, LLC",Monica's Mercato,"Terminal E, Space E3-A14/FC-04 . On one floor in one room. Seating 7 stools at bar w/ 1 ADA seat, table seating for 8 and 14 tools at a counter top/rail and 1 ADA seat. Total seating 32. Total Square Footage 1,382"," Delaware North Boston Flight, LLC", Mark V. Clemency,,"      Logan Airport, Terminal E  ",East Boston,0,0
LB-400468,,Active,"CMG 10 PO Square, LLC",Mariel,"11,322 Total SF; On three levels (ground, mezzanine and basement) including 5,977 sf located on the 1st floor of the South Tower of the Building (the Building) containing lounge, bar, stage, main dining room, kitchen and restrooms; 3,621 sf located on the lower level of the Building containing bar"," CMG 10 PO Square, LLC", Michael Adkins,,10-  Post Office SQ,Boston,776213.2801,2955617.617
LB-400360,,Active,"TASTES ON THE FLY LOGAN, LLC",Davio's,"Full service restaurant with a bar on one floor past security in Terminal C at Logan Airport. Total of 2,309 square feet, a seating capacity of 93, and an occupancy of 150. "," Tastes on the Fly Logan, LLC", Antonio Alicea,,      Logan Airport Terminal C  ,East Boston,0,0
LB-396004,,Active,"320 Cafe, LLC",Joe's 320 Cafe,"3,800 sf: In one room on ground floor including 48 seats: 42 in dining room and 6 at a bar counter. Kitchen and storage in rear.  60 persons; 48 indoor seating & 12 outdoor seating.  "," 320 Cafe, LLC", Joseph Adamo,,320-   Spring ST,West Roxbury,744910.1189,2924209.012
LB-392637,,Active,"Butter and Salt, LLC",Stillwater,In two rooms with kitchen and storage on ground floor with seasonal (April-November) ourdoor patio on private property.," Butter and Salt, LLC", Sarah Wade,,120-  Kingston ST,Boston,775345.3029,2953704.48
LB-396556,,Active,Boston Beer Alley Corporation,Boston Beer Alley,"On ground floor, in one room/stall, approximately 404 square feet of retail sales space within the Boston Public Market.", Boston Beer Alley Corporation, Tony Rodriguez,,100-  Hanover ST,Boston,775760.7847,2957310.544
LB-387106,,Active,"Corporacion Bani, Ltd.",Pimental Market," 1 story building with 1 entrance at the corner of Centre and Wyman Street and 1 exit on the Wyman street side, 1 room on the first floor containing approximately 1,100 sf with storage in the basement containing approximately 1,100 sf."," Corporacion Bani, Ltd.", Luis Guerrero-Pena,,340-   Centre ST,Jamaica Plain,762565.8926,2942759.899
LB-397007,,Active,"Tastes SMA Logan, LLC",Berkshire Farms, Grab-And-Go: food market with prepared food and beverage market.," Tastes SMA Logan, LLC", Antonio Alicea,,      Logan Airport Terminal A  ,East Boston,0,0
LB-393241,,Active,"BAKER STREET MARKET & DELI, INC.",,On one floor approx 2000 sq ft 1 entrance 1 exit. Storage in basement.," Baker Street Market & Deli, Inc.", Louis P. Dakayannis,,419-  Baker ST,West Roxbury,745585.0497,2928839.76
LB-383161,,Active,"Delaware North Boston Flight, LLC",B Good Burger,"Quick Service Restaurant in Terminal B, Pier A, Space BA2-A13/BA-A09 in the Boston Airport in one room on one floor with 26 table seats plus standing rail window seating."," Delaware North Boston Flight, LLC", Mark V. Clemency,,200     Terminal RD,East Boston,786260.6915,2957555.945
LB-383184,,Active,"Delaware North Boston Flight, LLC",Tico Tacos,"Quick Service Restaurant in Terminal B, Pier A, Space BA2-A13/BA-A10 in the Boston Airport in one room on one floor with 24 table seats plus standing rail window seating."," Delaware North Boston Flight, LLC", Mark V. Clemency,,200     Terminal RD,East Boston,786260.6915,2957555.945
LB-387124,,Active,"Markiro Market Place, Inc.",Lambert's Market Place,"a/k/a 140 Tremont Street Boston, MA 02111. Single story, one room, approximately 3,000 square feet."," Markiro Market Place, Inc.", Hany Gad,,10-  Temple PL,Boston,774438.0168,2954902.132
LB-364899,,Active,"GM RESTAURANT ENTERPRISES, INC.",LA TERRAZA,"In three floors, first floor to be used as a kitchen, dining room and service counter, second floor dining room, third floor for office space.  CAPACITY BREAKDOWN: 1ST FLOOR - 30, 2ND FLOOR - 50."," GM RESTAURANT ENTERPRISES, INC.", Jorge E. Martinez,(617)913-1201,19-   Bennington ST,East Boston,781004.5055,2962055.167
LB-382579,,Active,"JJ and JP, Inc.",Vaisakhi Indian Kitchen,"Has applied for a B.Y.O.B (Bring Your Own Bottle) License to be exercised on the above - First floor kitchen and dining; with bathroom and basement. Baljit Singh, Manager. Hours of Operation: Monday - Friday 11:30 AM-10:30 PM."," JJ and JP, Inc.",Baljit Singh,,157-   Sutherland RD,Brighton,751645,2949520
LB-379141,,Active,"SSP America BOS, LLC",Shojo," (2) Two story building/airport. One room on 2nd floor to be licensed 1,087 Sq Ft total."," SSP America BOS, LLC", Jacqueline O. Genao,,300     Logan Airport Terminal C  ,East Boston,0,0
LB-382644,,Active,"Delaware North Boston Flight, LLC",Boston Bruins Bar,"Full service bar in terminal A, Space AS-A07/17 in Boston Airport. In one room one floor 2 entrances 2 exits. Approx. total sq. ft. 1,430. Seating consist of 20 stools at bar (which includes 2 handicap), table seating for 20 and 5 stools at a counter top."," Delaware North Boston Flight, LLC", Mark V. Clemency,,100     Terminal RD,East Boston,785396.804,2958229.843
LB-381128,,Active,"MVC 40B, LLC",The Revolution Hotel,"Eight floor hotel, with 7 guest floors with 32 rooms per floor, 2500 SF  year round patio on private property midnight closing hour, lobby, basement function area, and restaurant, total usable total floor area of 73,000 SF."," MVC 40B, LLC", JACK BARDY,,40-   Berkeley ST,Boston,772166.3239,2951381.146
LB-381261,,Active,Post Office Square Redevelopment Corporation,,"Cafe on one (1) floor including an outdoor deck and patio. Cafe consists of +/- 970 sq. ft. with seating for thirty (30) patrons. Year-round outdoor patio consists of +/- 515 sq. ft. with seating for twenty (20) patrons. Year-round outdoor deck consists of +/- 1,425 sq. ft. with seating for eighty-t", Post Office Square Redevelopment Corporation, Jared Maurice Mancini,,152-158  Congress ST,Boston,776364.804,2955080.938
