Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,Grant_Existing,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
Public Works Department,North Washington Street Bridge,Design and construction of a new bridge that will replace the existing structure. State and federal construction funds awarded.,Public Works Department,In Construction,Charlestown,"9,184,468", -   , -   ,"35,270,000","5,612,436","72,032","3,500,000", -   ,"10,725,106","4,000,000","3,700,000","16,844,894","178,067,519","222,521,987"
Boston Public Schools,Brighton High School Locker Rooms,Renovate locker rooms.,Public Facilities Department,In Design,Allston/Brighton,"4,100,000", -   , -   , -   ,"151,827","548,173","2,100,000","1,300,000", -   , -   , -   , -   , -   ,"4,100,000"
Public Works Department,Emerald Necklace,"Develop a master plan to create an active, green transportation corridor along Columbia Road that connects Franklin Park and the waterfront, via the historic Emerald Necklace.",Public Works Department,To Be Scheduled,Various neighborhoods, -   , -   , -   ,"11,000,000", -   , -   , -   , -   , -   , -   ,"1,000,000","10,000,000", -   ,"11,000,000"
Transportation Department,Municipal Parking Lots,"Lighting, paving, re-striping, and other upgrades to municipal parking lots Citywide.",Transportation Department,Annual Program,Citywide,"1,000,000", -   , -   , -   , -   , -   ,"250,000","750,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Public Schools,Carter School,"Conduct a feasibility study and develop schematic design plans in conjunction with the MSBA that include spaces for beneficial and critical instructional activities, including aquatic, physical, creative arts, and multi-sensory therapies.",Public Facilities Department,In Design,South End,"65,730,795", -   , -   ,"26,235,737","599,416","1,000,000","1,000,000","63,131,379","454,682","600,000","500,000","24,681,055", -   ,"91,966,532"
Parks and Recreation Department,Flaherty (William F.) Playground ,Upgrade play lot.,Parks and Recreation Department,In Design,Jamaica Plain,"1,930,000", -   , -   , -   , -   ,"25,000","500,000","1,405,000", -   , -   , -   , -   , -   ,"1,930,000"
Parks and Recreation Department,Fort Point Channel Park,"Design and implementation of a signature, climate resilient waterfront park along the Fort Point Channel. Federal funding is anticipated.",Parks and Recreation Department,To Be Scheduled,South Boston,"10,000,000", -   , -   , -   , -   , -   , -   ,"10,000,000", -   , -   , -   ,"10,000,000", -   ,"20,000,000"
Environment Department,Moon Island Energy Storage,Design and installation of a photovoltaic array and battery storage unit on Moon Island to support regional fire prevention training curriculum.,Environment Department,In Design,Harbor Islands,"250,000", -   , -   , -   , -   , -   ,"125,000","125,000", -   , -   , -   , -   ,"588,080","838,080"
Parks and Recreation Department,Franklin Park Master Plan,"Consistent with the goals of Imagine Boston 2030, develop a master plan that will enhance historic Franklin Park as a keystone park in the geographical heart of the City.",Parks and Recreation Department,Study Underway,Various neighborhoods, -   , -   , -   ,"23,000,000", -   , -   , -   , -   ,"839,690","260,310","1,500,000","20,400,000", -   ,"23,000,000"
Transportation Department,Mission Hill Transportation Planning,Planning for pedestrian improvements.,Transportation Department,To Be Scheduled,Mission Hill,"300,000", -   , -   , -   , -   , -   ,"150,000","150,000", -   , -   , -   , -   , -   ,"300,000"
Boston Public Library,Central Library: McKim Fire Panel,Upgrade the McKim Building fire panel.,Boston Public Library,In Design,Back Bay,"1,000,000", -   , -   , -   ,"2,300","47,700","500,000","450,000", -   , -   , -   , -   , -   ,"1,000,000"
Parks and Recreation Department,General Parks Improvements,"Replace fencing, pavement, court lighting, and other infrastructure improvements needed.",Parks and Recreation Department,Annual Program,Citywide,"1,600,000","250,000", -   , -   , -   ,"750,000","1,000,000","100,000", -   , -   , -   , -   , -   ,"1,850,000"
Public Works Department,Melnea Cass Boulevard,Reconstruct Melnea Cass Blvd. in conjunction with the South Bay Harbor Trail project. State and federal construction funding anticipated.,Public Works Department,To Be Scheduled,Roxbury,"1,700,000", -   , -   , -   , -   , -   ,"850,000","850,000", -   , -   , -   , -   ,"25,000,000","26,700,000"
Parks and Recreation Department,Harambee Park Phase 4,Reconstruction of both cricket fields and the little league field.,Parks and Recreation Department,To Be Scheduled,Dorchester,"2,090,000", -   , -   , -   , -   , -   ,"500,000","1,590,000", -   , -   , -   , -   , -   ,"2,090,000"
Parks and Recreation Department,Hynes Playground,"Improvements to baseball and softball fields including; drainage, backstops, players benches, and infield repairs.",Parks and Recreation Department,In Construction,West Roxbury,"1,600,000", -   , -   , -   ,"33,688","66,312","1,500,000", -   , -   , -   , -   , -   , -   ,"1,600,000"
Public Works Department,McArdle Bridge,Design phase of bridge structure rehabilitation.,Public Works Department,In Design,East Boston,"10,000,000", -   , -   , -   , -   , -   ,"2,000,000","8,000,000", -   , -   , -   , -   , -   ,"10,000,000"
Parks and Recreation Department,Jeep Jones Park,Study and design for park renovations.,Parks and Recreation Department,In Construction,Roxbury,"1,360,000", -   , -   , -   ,"70,390","879,610","300,000","110,000", -   , -   , -   , -   , -   ,"1,360,000"
Boston Public Schools,Mather School Envelope,"Repair roof, masonry, windows, and doors.",Public Facilities Department,In Design,Dorchester,"3,000,000", -   , -   , -   , -   , -   ,"225,000","2,775,000", -   , -   , -   , -   , -   ,"3,000,000"
Transportation Department,"Massachusetts Avenue, North of Melnea Cass Blvd.","The project will improve pedestrian and cyclist safety on Massachusetts Avenue from Harrison Avenue to Melnea Cass Boulevard by adjusting curbs and medians, upgrading ramps, and establishing continuous bike facilities in both directions of the roadway.",Transportation Department,In Design,South End, -   , -   , -   ,"150,000", -   , -   , -   , -   , -   ,"75,000","75,000", -   , -   ,"150,000"
Public Works Department,Massachusetts Avenue and Melnea Cass Boulevard Intersection,"Re-design the intersection of Massachusetts Avenue and Melnea Cass Boulevard to improve pedestrian, bicycle and vehicular safety.",Public Works Department,In Design,South End,"500,000","1,000,000", -   , -   , -   , -   ,"500,000","1,000,000", -   , -   , -   , -   , -   ,"1,500,000"
Parks and Recreation Department,Justice Gourdin Veterans Memorial Park,"Major park renovation including pathways, walls, plazas, ADA improvements, and landscaping.",Parks and Recreation Department,In Construction,Roxbury,"1,455,000", -   , -   , -   ,"102,306","1,017,694","285,000","50,000", -   , -   , -   , -   , -   ,"1,455,000"
Parks and Recreation Department,L Street Open Space Area,This new open space on L Street will create an inter-generational gathering space. The park space will provide senior residents a place to relax and socialize while encouraging young children to engage and play.,Parks and Recreation Department,In Construction,South Boston,"605,000", -   , -   , -   , -   , -   ,"255,000","350,000", -   , -   , -   , -   , -   ,"605,000"
Boston Public Schools,Madison Park TVHS Study,Study to review Madison Park Technical Vocational High School.,Public Facilities Department,Study Underway,Roxbury,"615,000", -   , -   , -   , -   ,"25,000","250,000","340,000", -   , -   , -   , -   , -   ,"615,000"
Transportation Department,Lost Village Streets,"Design and construct improvements to roads, sidewalks and signals in the Lost Village section of Charlestown.",Transportation Department,In Design,Charlestown, -   ,"666,000", -   ,"534,000", -   , -   ,"666,000", -   , -   , -   ,"125,000","409,000", -   ,"1,200,000"
Boston Public Library,Chinatown Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Design,Chinatown,"6,000,000", -   ,"16,000,000", -   ,"70,610","29,391","500,000","21,399,999", -   , -   , -   , -   , -   ,"22,000,000"
Property Management Department,City Hall and City Hall Plaza,"Implement early action items from the City Hall Master plan including masonry and roof repairs, HVAC improvements, and construction of Phase 1 which includes a new public entrance on the north plaza, accessibility upgrades, and extensive plaza renovations.",Public Facilities Department,In Construction,Government Center/Faneuil Hall,"110,300,000", -   , -   ,"23,273","48,358,795","38,821,447","13,000,000","10,119,758","23,273","2,000,000","2,000,000", -   , -   ,"114,323,273"
Public Works Department,Harrison Avenue Improvements,Road reconstruction improvements to Harrison Avenue between East Berkeley Street and Herald Street.,Public Works Department,In Design,South End, -   , -   , -   ,"2,222,050", -   , -   , -   , -   , -   ,"72,050","100,000","2,050,000", -   ,"2,222,050"
Boston Planning and Development Agency,Lewis Street Flood Mitigation Study,Conduct technical analysis and develop coastal protective design options that address two near-term flood pathways identified through the 2017 Climate Ready East Boston report.,Boston Planning and Development Agency,To Be Scheduled,East Boston,"150,000", -   , -   , -   , -   ,"150,000", -   , -   , -   , -   , -   , -   ,"300,000","450,000"
Parks and Recreation Department,Malcolm X Park,"Design and construction of a comprehensive park renovation excluding fields, which were recently renovated.",Parks and Recreation Department,In Construction,Roxbury,"6,850,000","275,000", -   ,"750,000","369,722","1,580,278","3,500,000","1,675,000", -   , -   , -   ,"750,000","2,000,000","9,875,000"
Boston Public Schools,BPS Building Reprogramming,"Upgrade building facilities to facilitate grade reconfigurations at various schools, in line with the goals of BuildBPS.",Boston Public Schools,To Be Scheduled,Citywide,"3,100,000","8,450,000", -   , -   , -   ,"350,000","1,200,000","10,000,000", -   , -   , -   , -   , -   ,"11,550,000"
Boston Public Library,Codman Square Branch Library Study ,Conduct a facility assessment and develop a building program that reflects the BPL's Compass Principles and supports the needs of the neighborhood. Design and construct a new branch library.,Public Facilities Department,Study Underway,Dorchester,"100,000","3,000,000", -   , -   , -   ,"70,000","330,000","2,700,000", -   , -   , -   , -   , -   ,"3,100,000"
Transportation Department,Bowdoin Street/Geneva Avenue,Design transportation improvements in the Bowdoin Street and Geneva Avenue area in Dorchester.,Transportation Department,To Be Scheduled,Dorchester,"300,000", -   , -   , -   , -   , -   ,"100,000","200,000", -   , -   , -   , -   , -   ,"300,000"
Environment Department,Mattahunt Woods Preservation,"Clean up debris, manage invasive species, and build trails to restore wetland habitat and create usable open space.",Parks and Recreation Department,To Be Scheduled,Mattapan,"750,000", -   , -   , -   , -   , -   ,"375,000","375,000", -   , -   , -   , -   , -   ,"750,000"
Parks and Recreation Department,Jamaica Pond Boathouse Study,Programming study for Jamaica Pond Boathouse.,Public Facilities Department,To Be Scheduled,Jamaica Plain,"250,000","250,000", -   , -   , -   , -   ,"50,000","450,000", -   , -   , -   , -   , -   ,"500,000"
Public Health Commission,IT Disaster Recovery/Business Continuity,Establish a disaster recovery site to increase disaster preparedness of BPHCs primary computer system infrastructure.,DoIT,To Be Scheduled,N/A,"565,000", -   , -   , -   , -   , -   ,"225,000","340,000", -   , -   , -   , -   , -   ,"565,000"
Boston Public Schools,Irving School Reconfiguration,Upgrade building facilities at the Irving School to facilitate grade reconfiguration.,Public Facilities Department,In Design,Roslindale,"5,200,000", -   , -   , -   , -   , -   ,"2,200,000","3,000,000", -   , -   , -   , -   , -   ,"5,200,000"
Office of New Urban Mechanics,Innovation Fund,"Work across departments to deploy innovative improvements on streets, online, and in schools using technology and cutting edge design.",Office of New Urban Mechanics,Implementation Underway,Various neighborhoods,"200,000", -   , -   , -   , -   , -   ,"50,000","150,000", -   , -   , -   , -   , -   ,"200,000"
Parks and Recreation Department,McConnell Playground,"Comprehensive park renovation to include play lot, three fields, passive park, parking lot and address access issues.
",Parks and Recreation Department,In Construction,Dorchester,"7,670,000", -   , -   ,"1,000,000","460,799","4,589,201","530,000","2,090,000", -   ,"800,000","200,000", -   , -   ,"8,670,000"
Fire Department,HVAC / Boiler Replacement at Various Stations,"Install boilers, heating and lighting systems at fire stations including Engines 41, Engine 53, and the Fire Alarm Division.",Fire Department,Implementation Underway,Various neighborhoods,"3,100,000", -   ,"231,083","206,614","2,090,247","250,000","500,000","490,836","201,514", -   , -   ,"5,100", -   ,"3,537,697"
Mayor's Office of Housing,Housing Infrastructure Fund,Investment in infrastructure to support affordable housing development.,Mayor's Office of Housing,To Be Scheduled,Various neighborhoods,"5,000,000", -   , -   , -   ,"56,904", -   ,"200,000","4,743,096", -   , -   , -   , -   , -   ,"5,000,000"
Boston Public Schools,Curley K-8 School,"Rebuild exterior bridge and walkway that connects the two school buildings, replace doors, install lighting, and add an accessible toilet room.",Public Facilities Department,In Construction,Jamaica Plain,"3,000,000", -   , -   , -   ,"200,430","1,099,570","1,700,000", -   , -   , -   , -   , -   , -   ,"3,000,000"
Parks and Recreation Department,McGann Playground,Upgrade play lot.,Parks and Recreation Department,In Design,Hyde Park,"650,000", -   ,"300,000", -   , -   ,"50,000","250,000","650,000", -   , -   , -   , -   , -   ,"950,000"
Boston Public Schools,Henderson Upper School Yard,Design and construct a new school yard at the Henderson Upper School.,Public Facilities Department,In Design,Dorchester,"1,000,000", -   , -   , -   , -   , -   ,"500,000","500,000", -   , -   , -   , -   , -   ,"1,000,000"
Police Department,District B-3 Station Study,Programming study to evaluate space requirements for the District B-3 station.,Public Facilities Department,To Be Scheduled,Mattapan,"100,000", -   , -   , -   , -   , -   , -   ,"100,000", -   , -   , -   , -   , -   ,"100,000"
Public Works Department,Long Island Bridge Replacement,Design and construct a new bridge from Moon Island to Long Island. Demolish and remove the former bridge.,Public Works Department,In Design,Harbor Islands,"78,000,000", -   , -   ,"30,758,144","23,949,576","500,000","1,000,000","52,550,424","2,529,814","250,000","1,000,000","26,978,330", -   ,"108,758,144"
Parks and Recreation Department,McKinney Playground,Partial implementation of the master plan including ball field renovations and pathway improvements.,Parks and Recreation Department,In Design,Allston/Brighton,"1,010,000", -   ,"1,000,000", -   ,"45,000","300,000","665,000","1,000,000", -   , -   , -   , -   ,"750,000","2,760,000"
Parks and Recreation Department,McLean Playground,Improvements to basketball court and nearby areas to improve accessibility and access to the site.,Parks and Recreation Department,To Be Scheduled,East Boston,"910,000", -   , -   , -   , -   , -   ,"250,000","660,000", -   , -   , -   , -   , -   ,"910,000"
Parks and Recreation Department,Greenhouses at Franklin Park,Renovation and heating system upgrades for BPRD's green house facility.,Public Facilities Department,To Be Scheduled,Roxbury,"250,000","500,000", -   , -   , -   , -   ,"50,000","700,000", -   , -   , -   , -   , -   ,"750,000"
Transportation Department,Green Links,Annual program to create a connected network of pedestrian and bicycle paths that will allow more access to green open spaces.,Transportation Department,Annual Program,Various neighborhoods,"700,000", -   ,"500,000","150,116","288,429","111,571","270,000","530,000","118,210","15,000","16,906", -   , -   ,"1,350,116"
Boston Public Schools,BPS: 21st Century Schools Fund,Acquire new school furniture and technology to promote 21st century learning.,Boston Public Schools,Implementation Underway,Citywide,"4,103,029", -   , -   , -   ,"287,415","307,000","2,000,000","1,508,614", -   , -   , -   , -   , -   ,"4,103,029"
Police Department,District E-18 Station Study,Programming study to evaluate space requirements for the District E-18 station.,Public Facilities Department,To Be Scheduled,Hyde Park,"100,000", -   , -   , -   , -   , -   , -   ,"100,000", -   , -   , -   , -   , -   ,"100,000"
Parks and Recreation Department,Millennium Park,"Design and construction of play lot improvements, pathway repaving, and installation of modular bathroom facilities.",Parks and Recreation Department,In Design,West Roxbury,"4,075,000","1,200,000", -   , -   ,"55,000","100,000","3,500,000","1,620,000", -   , -   , -   , -   , -   ,"5,275,000"
Parks and Recreation Department,Mission Hill Playground,Upgrade play lot.,Parks and Recreation Department,In Construction,Mission Hill,"2,855,000", -   , -   ,"400,000","148,487","806,513","1,900,000", -   , -   ,"300,000","100,000", -   , -   ,"3,255,000"
Department of Innovation and Technology,FY22 IT Investment Proposals,Identify and procure IT solutions for City departments.,DoIT,To Be Scheduled,N/A,"500,000", -   , -   , -   , -   , -   ,"300,000","200,000", -   , -   , -   , -   , -   ,"500,000"
Department of Innovation and Technology,FY21 IT Investment Proposals,Identify and procure IT solutions for City departments.,DoIT,Implementation Underway,N/A,"1,500,000", -   , -   , -   ,"184,943","115,058","600,000","599,999", -   , -   , -   , -   , -   ,"1,500,000"
Department of Innovation and Technology,FY20 IT Investment Proposals,Identify and procure IT solutions for City departments.,DoIT,Implementation Underway,N/A,"1,000,000", -   , -   , -   ,"612,603","237,397","150,000", -   , -   , -   , -   , -   , -   ,"1,000,000"
Department of Innovation and Technology,FY19 IT Investment Proposals,Identify and procure IT solutions for City departments.,DoIT,Implementation Underway,N/A,"3,664,741", -   , -   , -   ,"1,385,170","279,571","500,000","1,500,000", -   , -   , -   , -   , -   ,"3,664,741"
Police Department,East Boston Police Station ,Design and construct a new police station.,Public Facilities Department,In Construction,East Boston,"29,900,000", -   , -   , -   ,"21,397,203","7,002,797","1,500,000", -   , -   , -   , -   , -   , -   ,"29,900,000"
Public Works Department,Friend Street,Reconstruct street and sidewalk on Friend Street from New Chardon Street to Causeway Street.,Public Works Department,In Construction,Financial District/Downtown,"1,750,000", -   , -   , -   ,"1,041,566","208,434","500,000", -   , -   , -   , -   , -   , -   ,"1,750,000"
Boston Public Schools,Edwards School Study,Study to design and retrofit school for future educational programming.,Public Facilities Department,To Be Scheduled,Charlestown,"500,000", -   , -   , -   , -   , -   ,"500,000", -   , -   , -   , -   , -   , -   ,"500,000"
Parks and Recreation Department,Moakley Park,Implementation of master plan for Moakley Park. This project will redesign the park including climate resilience features to mitigate flood risk. ,Parks and Recreation Department,In Design,South Boston,"5,700,000","1,500,000", -   ,"1,500,000","2,310,204","1,189,796","3,000,000","700,000","1,500,000", -   , -   , -   , -   ,"8,700,000"
Parks and Recreation Department,Mother's Rest at Four Corners,Design for comprehensive park improvements including play area and passive areas.,Parks and Recreation Department,In Design,Dorchester,"1,610,000", -   , -   , -   , -   ,"50,000","350,000","1,210,000", -   , -   , -   , -   , -   ,"1,610,000"
Public Works Department,Footpath and Stairways ,Conduct assessment of footpaths and stairways throughout the City followed by reconstruction.,Public Works Department,Annual Program,Various neighborhoods,"500,000","5,530,000", -   , -   , -   ,"30,000","6,000,000", -   , -   , -   , -   , -   , -   ,"6,030,000"
Boston Public Schools,BPS: Capital Maintenance,"Core maintenance work in various schools, including electrical, HVAC, masonry, and window repairs.",Boston Public Schools,Annual Program,Citywide,"16,508,150", -   , -   , -   , -   ,"1,276,969","14,500,000","731,181", -   , -   , -   , -   , -   ,"16,508,150"
Parks and Recreation Department,Muddy River,"Dredge main channel and restore habitat along the Muddy River. Project will be implemented through the Army Corps of Engineers. Additional project funding is provided by the Army Corps of Engineers, the Commonwealth, and the Town of Brookline.",Parks and Recreation Department,In Design,Fenway/Kenmore,"10,352,500", -   , -   ,"1,277,086","7,851,690","500,810","500,000","1,500,000","752,773", -   , -   ,"524,313","77,676,056","89,305,642"
Police Department,Emergency 9-1-1 Backup Study,Develop program for a new backup facility for E-9-1-1 call takers and police dispatch.,Public Facilities Department,Study Underway,Various neighborhoods,"50,000", -   , -   , -   , -   , -   , -   ,"50,000", -   , -   , -   , -   , -   ,"50,000"
Fire Department,Fire Radio System Upgrades,Design and implementation of upgrades to the Fire radio system.,Fire Department,Implementation Underway,Citywide,"46,000,000", -   , -   , -   ,"3,361,657","4,500,000","10,800,000","27,338,343", -   , -   , -   , -   , -   ,"46,000,000"
Emergency Management,Emergency Operations Center,A programming and siting study for the development of an emergency operations center.,Public Facilities Department,To Be Scheduled,N/A,"1,500,000", -   , -   , -   , -   , -   , -   ,"1,500,000", -   , -   , -   , -   , -   ,"1,500,000"
Fire Department,Fire Equipment FY24-FY27,Purchase new fire apparatus for FY24-FY27 as scheduled in the Apparatus Replacement Plan.,Fire Department,Annual Program,Citywide,"4,550,000", -   ,"2,750,000", -   , -   , -   , -   ,"7,300,000", -   , -   , -   , -   , -   ,"7,300,000"
Public Health Commission,EMS Seaport Station,Design and construction of a new EMS station.,Public Facilities Department,To Be Scheduled,South Boston,"985,000","10,015,000", -   , -   , -   ,"125,000","900,000","9,975,000", -   , -   , -   , -   , -   ,"11,000,000"
Public Health Commission,EMS Training Academy,Renovate space at 201 Rivermoor Street to accommodate Emergency Medical Services (EMS) training requirements.,Public Facilities Department,In Design,West Roxbury,"14,250,000","1,425,000", -   , -   ,"773,638","476,363","6,000,000","8,424,999", -   , -   , -   , -   , -   ,"15,675,000"
Parks and Recreation Department,Murphy Playground,Renovation of park including refurbishing ball fields.,Parks and Recreation Department,To Be Scheduled,Jamaica Plain,"250,000","2,150,000", -   , -   , -   , -   ,"150,000","2,250,000", -   , -   , -   , -   , -   ,"2,400,000"
Parks and Recreation Department,Field House Programming Study,Study and design of facility and programming improvements at Billings Field Fieldhouse and Lee Playground Fieldhouse.,Public Facilities Department,To Be Scheduled,Various neighborhoods,"125,000", -   , -   , -   , -   , -   ,"50,000","75,000", -   , -   , -   , -   , -   ,"125,000"
Department of Innovation and Technology,Fiber Network Expansion,"Invest in and expand BoNet infrastructure, including extending the fiber network's reach to additional BPS schools and providing public Wi-Fi opportunities.",DoIT,Implementation Underway,Various neighborhoods,"14,020,523", -   , -   , -   ,"9,155,259","3,615,264","1,000,000","250,000", -   , -   , -   , -   , -   ,"14,020,523"
Fire Department,Engine 17,Design and construct a new fire station.,Public Facilities Department,In Design,Dorchester,"24,700,000","5,300,000", -   , -   ,"1,745,862","1,454,138","5,000,000","21,800,000", -   , -   , -   , -   , -   ,"30,000,000"
Fire Department,Engine 3,Design and construct a new fire station.,Public Facilities Department,In Design,South End,"3,000,000", -   , -   , -   , -   , -   ,"250,000","2,750,000", -   , -   , -   , -   , -   ,"3,000,000"
Environment Department,Exterior Lighting Energy Performance,Identify energy retrofit project opportunities for City owned light fixtures.,Environment Department,To Be Scheduled,Citywide,"4,000,000","6,000,000", -   , -   , -   , -   ,"250,000","9,750,000", -   , -   , -   ,"1,200,000", -   ,"11,200,000"
Boston Public Schools,Bus Monitor Technology,Purchase and install bus monitor technology to enhance transportation planning and operations.,Boston Public Schools,To Be Scheduled,N/A,"100,000", -   , -   , -   , -   , -   ,"100,000", -   , -   , -   , -   , -   , -   ,"100,000"
Fire Department,Engine 37,Design and construct a new fire station.,Public Facilities Department,To Be Scheduled,Fenway/Kenmore,"2,390,000", -   ,"610,000", -   , -   , -   , -   ,"3,000,000", -   , -   , -   , -   , -   ,"3,000,000"
Department of Innovation and Technology,ERP System Upgrade,"Investment in key City-wide systems including an upgrade for BAIS Financials application and tools, and a tools and PUM upgrade for BAIS HCM.",DoIT,Implementation Underway,N/A,"15,654,000", -   , -   , -   ,"1,262,318","7,391,682","7,000,000", -   , -   , -   , -   , -   , -   ,"15,654,000"
Boston Public Schools,Bus Navigation System,Purchase and install on-board guidance and navigation system for school buses.,Boston Public Schools,To Be Scheduled,N/A,"1,345,805", -   , -   , -   , -   , -   ,"1,000,000","345,805", -   , -   , -   , -   , -   ,"1,345,805"
Department of Innovation and Technology,Enterprise Applications,Identify and procure enterprise business applications that enhance productivity and improve City business operations.,DoIT,Annual Program,N/A,"27,000,000", -   , -   , -   ,"13,776,995","1,423,005","800,000","11,000,000", -   , -   , -   , -   , -   ,"27,000,000"
Boston Public Schools,Everett School Roof,Replace roof.,Public Facilities Department,In Construction,Dorchester,"1,741,924", -   , -   , -   ,"42,322","999,602","700,000", -   , -   , -   , -   , -   , -   ,"1,741,924"
Police Department,Evidence/Archives/Central Supply Study,"Program and siting study for new facility to house evidence management, archives, and central supply functions.",Public Facilities Department,To Be Scheduled,N/A,"75,000", -   , -   , -   , -   , -   , -   ,"75,000", -   , -   , -   , -   , -   ,"75,000"
Property Management Department,Family Justice Center Building Envelope Repairs,Window replacements and building envelope improvements.,Public Facilities Department,In Design,Allston/Brighton,"2,200,000", -   , -   , -   , -   ,"100,000","500,000","1,600,000", -   , -   , -   , -   , -   ,"2,200,000"
Boston Public Library,Faneuil Branch Library,"Library branch improvements consistent with the BPL's Compass Principles and based on the completed programming study which calls for improved accessibility, interior renovations and refurbishment, as well as, a building addition.",Public Facilities Department,In Construction,Allston/Brighton,"14,000,000", -   , -   , -   ,"770,258","5,229,742","8,000,000", -   , -   , -   , -   , -   , -   ,"14,000,000"
Environment Department,Energy Efficiency Design Services,Design services to enhance the energy efficiency of municipal capital assets.,Environment Department,Implementation Underway,Citywide,"325,000", -   ,"175,000", -   ,"101,990", -   ,"150,000","248,010", -   , -   , -   , -   , -   ,"500,000"
Boston Public Library,Fields Corner Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Design,Dorchester,"2,105,000","1,000,000","17,895,000", -   ,"78,583","22,000","400,000","20,499,417", -   , -   , -   , -   , -   ,"21,000,000"
Fire Department,Fire Alarm Roof and Antenna,"Exterior repointing, roof replacement, skylight replacement, and repairs to rooftop masonry and antenna supports.",Public Facilities Department,In Construction,Fenway/Kenmore,"1,921,700", -   , -   , -   ,"57,966","20,000","1,500,000","343,734", -   , -   , -   , -   , -   ,"1,921,700"
Public Health Commission,EMS Radio System Upgrades,Design and implement upgrades to the EMS radio system.,Boston Public Health Commission,Implementation Underway,Citywide,"23,215,000", -   , -   , -   ,"1,862,217","4,000,000","8,000,000","9,352,783", -   , -   , -   , -   , -   ,"23,215,000"
Public Health Commission,EMS Neighborhood Station Study,Programming and site evaluation to support EMS facilities that better serve each community with Emergency Medical Services.,Public Facilities Department,To Be Scheduled,Various neighborhoods,"100,000", -   , -   , -   , -   , -   ,"50,000","50,000", -   , -   , -   , -   , -   ,"100,000"
Fire Department,Fire Headquarters,"Building renovations at the Boston Fire Department Headquarters including a new roof, and the installation of sprinklers and an updated fire alarm system. Accessibility improvements are also planned.",Public Facilities Department,In Design,Roxbury,"1,290,000","4,905,000", -   , -   ,"44,302","500,000","500,000","5,150,698", -   , -   , -   , -   , -   ,"6,195,000"
Boston Public Schools,Fire Systems at Various Schools,Upgrade or replace fire alarms and/or fire protection systems at various schools.,Public Facilities Department,To Be Scheduled,Various neighborhoods,"1,000,000", -   ,"1,500,000", -   , -   , -   ,"500,000","2,000,000", -   , -   , -   , -   , -   ,"2,500,000"
Public Works Department,New Market One Ways ,"Redesign Massachusetts Avenue between Melnea Cass Boulevard and Theodore Glynn Way for safety improvements that improve walking, biking, and public transit access.",Public Works Department,To Be Scheduled,Roxbury,"850,000", -   , -   , -   , -   , -   ,"425,000","425,000", -   , -   , -   , -   , -   ,"850,000"
Boston Public Schools,Elementary and Grades 7-12 Programming/Siting Study,Study to develop space programs and to evaluate potential sites for future elementary and grades 7-12 schools.,Public Facilities Department,To Be Scheduled,Various neighborhoods,"3,000,000", -   , -   , -   , -   , -   ,"1,250,000","1,750,000", -   , -   , -   , -   , -   ,"3,000,000"
Boston Public Schools,Electrical Upgrades at 2 Schools,Upgrade electrical equipment at the Dever and McCormack schools to align with transformer replacements in Columbia Point.,Public Facilities Department,To Be Scheduled,Dorchester,"5,530,518", -   , -   , -   , -   , -   ,"500,000","5,030,518", -   , -   ,"60,000", -   , -   ,"5,590,518"
Transportation Department,Electric Charging Stations,Installation of electric vehicle charging stations at various municipal lots.,Transportation Department,In Construction,Citywide, -   , -   , -   ,"300,000", -   , -   , -   , -   ,"24,750","80,250","195,000", -   , -   ,"300,000"
Police Department,Forensics Unit Facility Upgrades,Renovate interior space at BPD headquarters to redesign and expand the Forensic Unit.,Public Facilities Department,In Design,Roxbury,"60,000", -   , -   , -   , -   ,"10,000","50,000", -   , -   , -   , -   , -   , -   ,"60,000"
Transportation Department,Eagle Square ,Design for traffic flow and safety improvements in Eagle Square.,Transportation Department,To Be Scheduled,East Boston,"150,000", -   , -   ,"2,000,000", -   , -   ,"100,000","50,000", -   , -   ,"200,000","1,800,000", -   ,"2,150,000"
Parks and Recreation Department,Odom Serenity Garden,Design park improvements in conjunction with DND for a park named in memory of Steven P. Odom.,Parks and Recreation Department,In Design,Dorchester,"50,000", -   , -   , -   ,"18,980","6,020","25,000", -   , -   , -   , -   , -   ,"500,000","550,000"
Office of Arts & Culture,Edward O. Gourdin and African American Veterans Memorial,Complete fabrication and install a bronze memorial portrait of Justice Gourdin and ten bas-relief portraits of African American veterans of wars from the American Revolution to the Iraq War.,Office of Arts and Culture,Implementation Underway,Roxbury,"150,000", -   , -   , -   , -   , -   ,"50,000","100,000", -   , -   , -   , -   , -   ,"150,000"
Public Works Department,Northern Avenue Bridge,Re-build the bridge and preserve certain elements of the historic structure while creating a transformative multi-modal bridge that prioritizes pedestrians and shared public space.,Public Works Department,In Design,South Boston,"85,000,000", -   , -   ,"15,000,000", -   , -   , -   ,"85,000,000","7,901,609","2,098,391","2,000,000","3,000,000", -   ,"100,000,000"
