,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget,total
112,Boston Public Schools,Blackstone School Interior Renovations,"Refurbish building interior to include classroom enclosures, security measures, fire sprinklers, and related HVAC and fire alarm work in alignment with enclosure activities.",Public Facilities Department,To Be Scheduled,South End,600000,0,4400000,0,0,0,0,0,0,5000000,0,0,0,0,0,5000000,15000000
113,Property Management Department,43 Hawkins Street,Roof replacement and exterior envelope repairs.,Public Facilities Department,In Design,Government Center/Faneuil Hall,5000000,0,0,0,0,0,0,40000,160000,4800000,0,0,0,0,0,5000000,15000000
114,Public Works Department,State Street,"Reconstruct road, sidewalks, and lighting from Congress Street to Rose Kennedy Greenway.",Public Works Department,In Design,Financial District/Downtown,1500000,0,3500000,0,0,0,0,0,100000,4900000,0,0,0,0,0,5000000,15000000
115,Boston Centers for Youth and Families,North End Community Center Design,Develop a design for a new North End Community Center.,Public Facilities Department,To Be Scheduled,North End,5000000,0,0,0,0,0,0,0,400000,4600000,0,0,0,0,0,5000000,15000000
116,Public Health Commission,201 River Street HVAC,"Upgrade HVAC for improved heating, cooling, and ventilation systems.",Public Facilities Department,New Project,Mattapan,0,4850000,0,0,0,0,0,0,200000,4650000,0,0,0,0,0,4850000,14550000
117,Boston Public Schools,UP Academy Dorchester,Replace unit ventilators.,Public Facilities Department,In Design,Dorchester,3440000,1160000,0,0,0,0,0,150181,1200000,3249819,0,0,0,0,0,4600000,13800000
118,Public Works Department,Street Lighting Infrastructure Upgrades,Replacement of street lighting infrastructure to promote safety and wellbeing,Public Works Department,New Project,Citywide,0,4550000,0,0,0,0,0,0,2500000,2050000,0,0,0,0,0,4550000,13650000
119,Transportation Department,Crosswalks and Lane Markings,Provide additional crosswalk and lane markings.,Transportation Department,Annual Program,Citywide,0,0,0,4500000,0,0,0,0,0,0,0,0,1500000,3000000,0,4500000,13500000
120,Parks and Recreation Department,Billings Field,"Design a comprehensive park renovation including fields, courts, and other park infrastructure.",Parks and Recreation Department,To Be Scheduled,West Roxbury,500000,3700000,0,0,0,0,0,0,250000,3950000,0,0,0,0,0,4200000,12600000
121,Boston Public Schools,BPS: 21st Century Schools Fund,Acquire new school furniture and technology to promote 21st century learning.,Boston Public Schools,Implementation Underway,Citywide,4103029,0,0,0,0,0,287415,307000,2000000,1508614,0,0,0,0,0,4103029,12309087
122,Parks and Recreation Department,Ceylon Park,"Design of park improvements including upgrades to artificial turf, sports lighting, basketball court, playgrounds, splash pad, spectator seating, and accessibility.",Parks and Recreation Department,To Be Scheduled,Roxbury,500000,0,3600000,0,0,0,0,0,100000,4000000,0,0,0,0,0,4100000,12300000
123,Boston Public Schools,Brighton High School Locker Rooms,Renovate locker rooms.,Public Facilities Department,In Design,Allston/Brighton,4100000,0,0,0,0,0,151827,548173,2100000,1300000,0,0,0,0,0,4100000,12300000
124,Environment Department,Climate Ready Boston Harbor Study,Support the development of a study that will examine the feasibility of measures along and within the Boston Harbor to reduce vulnerability of coastal flooding due to sea level rise caused by climate change.,Environment Department,To Be Scheduled,Various neighborhoods,2000000,0,0,0,0,0,0,0,2000000,0,0,0,0,0,3000000,5000000,12000000
125,Boston Public Schools,Accreditation Improvements at Various Schools,Renovate or make building improvements necessary to meet or maintain school building accreditation standards.,Boston Public Schools,Annual Program,Various neighborhoods,3000000,0,1000000,0,0,0,409750,500000,500000,2590250,0,0,0,0,0,4000000,12000000
126,Boston Centers for Youth and Families,Dorchester Community Center,Design a new community center based on the recent programming study.,Public Facilities Department,New Project,Dorchester,0,4000000,0,0,0,0,0,0,200000,3800000,0,0,0,0,0,4000000,12000000
127,Public Works Department,Central Maintenance Facility Complex,"Continued renovations to the building, garage, and grounds.",Public Facilities Department,In Construction,South End,3800000,0,0,0,0,0,0,0,2000000,1800000,0,0,0,0,0,3800000,11400000
128,Public Works Department,Boylston Street Sidewalks,Design and construct sidewalk and/or streetscape improvements on Boylston Street.,Public Works Department,In Construction,Back Bay,0,0,0,3761000,0,0,0,0,0,0,1062450,98550,1250000,1350000,0,3761000,11283000
129,Boston Public Schools,Mattahunt School,Safety upgrades at the Mattahunt Elementary School.,Public Facilities Department,To Be Scheduled,Mattapan,500000,0,3165000,0,0,0,0,0,500000,3165000,0,0,0,0,0,3665000,10995000
130,Parks and Recreation Department,Sports Lighting Replacement,Annual program for replacing sports lighting. High priority projects include Christopher Lee Playground and Clifford Playground.,Parks and Recreation Department,Implementation Underway,Citywide,1000000,0,2600000,0,0,0,132575,767425,500000,2200000,0,0,0,0,0,3600000,10800000
131,Fire Department,HVAC / Boiler Replacement at Various Stations,"Install boilers, heating and lighting systems at fire stations including Engines 41, Engine 53, and the Fire Alarm Division.",Fire Department,Implementation Underway,Various neighborhoods,3100000,0,231083,206614,0,0,2090247,250000,500000,490836,201514,0,0,5100,0,3537697,10613091
132,Parks and Recreation Department,Christopher Columbus Park,"Playground renovation including play structure, safety surfacing, fencing, lighting, site furnishings, pathway repairs, drainage, signage, and green infrastructure to mitigate future sea level rise.",Parks and Recreation Department,To Be Scheduled,North End,3500000,0,0,0,0,0,0,0,100000,3400000,0,0,0,0,0,3500000,10500000
133,Transportation Department,Traffic Signal Construction at 5 locations ,Design and construct safety improvements to various traffic signals throughout the City.,Transportation Department,In Design,Various neighborhoods,2400000,1000000,0,0,0,0,0,100000,300000,3000000,0,0,0,0,0,3400000,10200000
134,Parks and Recreation Department,Mary Ellen Welch Greenway,"Design of comprehensive park improvements including sea level rise mitigation, storm water management upgrades, improvements to pathways, furnishings, plantings and murals.",Parks and Recreation Department,To Be Scheduled,East Boston,400000,2900000,0,0,0,0,0,0,50000,3250000,0,0,0,0,0,3300000,9900000
135,Parks and Recreation Department,Mission Hill Playground,Upgrade play lot.,Parks and Recreation Department,In Construction,Mission Hill,2855000,0,0,400000,0,0,148487,806513,1900000,0,0,300000,100000,0,0,3255000,9765000
136,Boston Public Library,Codman Square Branch Library Study ,Conduct a facility assessment and develop a building program that reflects the BPL's Compass Principles and supports the needs of the neighborhood. Design and construct a new branch library.,Public Facilities Department,Study Underway,Dorchester,100000,3000000,0,0,0,0,0,70000,330000,2700000,0,0,0,0,0,3100000,9300000
137,Boston Public Schools,McCormack School 7-12 Conversion Phases 1-2,Refurbish building interior to facilitate grade 7-12 conversion.,Boston Public Schools,In Construction,Dorchester,3000000,0,0,0,0,0,0,200000,2800000,0,0,0,0,0,0,3000000,9000000
138,Public Works Department,Sidewalk Reconstruction,Response to 311 requests for sidewalk and ramp repairs and reconstruction.,Public Works Department,Annual Program,Citywide,2000000,0,1000000,0,0,0,0,0,2500000,500000,0,0,0,0,0,3000000,9000000
139,Boston Public Schools,Timilty School Reconfiguration,Upgrade building facilities at the Timilty School to facilitate grade reconfiguration.,Public Facilities Department,New Project,Roxbury,3000000,0,0,0,0,0,0,0,1500000,1500000,0,0,0,0,0,3000000,9000000
140,Boston Public Schools,Mather School Envelope,"Repair roof, masonry, windows, and doors.",Public Facilities Department,In Design,Dorchester,3000000,0,0,0,0,0,0,0,225000,2775000,0,0,0,0,0,3000000,9000000
141,Boston Public Schools,Curley K-8 School,"Rebuild exterior bridge and walkway that connects the two school buildings, replace doors, install lighting, and add an accessible toilet room.",Public Facilities Department,In Construction,Jamaica Plain,3000000,0,0,0,0,0,200430,1099570,1700000,0,0,0,0,0,0,3000000,9000000
142,Boston Public Schools,Science Room Upgrades at Various Schools,Upgrade science rooms at schools across the district. ,Boston Public Schools,New Project,Various neighborhoods,0,3000000,0,0,0,0,0,0,2000000,1000000,0,0,0,0,0,3000000,9000000
143,Boston Public Schools,Elementary and Grades 7-12 Programming/Siting Study,Study to develop space programs and to evaluate potential sites for future elementary and grades 7-12 schools.,Public Facilities Department,To Be Scheduled,Various neighborhoods,3000000,0,0,0,0,0,0,0,1250000,1750000,0,0,0,0,0,3000000,9000000
144,Boston Public Schools,Library Improvements at Various Schools,Upgrade school libraries across the district. ,Boston Public Schools,New Project,Various neighborhoods,0,3000000,0,0,0,0,0,0,2000000,1000000,0,0,0,0,0,3000000,9000000
145,Fire Department,Engine 3,Design and construct a new fire station.,Public Facilities Department,In Design,South End,3000000,0,0,0,0,0,0,0,250000,2750000,0,0,0,0,0,3000000,9000000
146,Fire Department,Engine 37,Design and construct a new fire station.,Public Facilities Department,To Be Scheduled,Fenway/Kenmore,2390000,0,610000,0,0,0,0,0,0,3000000,0,0,0,0,0,3000000,9000000
147,Boston Public Library,West End Branch Library,Design and construct a new branch library. Develop a building program that reflects the Boston Public Library's Compass Principles and supports the needs of the neighborhood.,Public Facilities Department,New Project,West End,0,3000000,0,0,0,0,0,0,100000,2900000,0,0,0,0,0,3000000,9000000
148,Boston Public Schools,Security Related Improvements at Various Schools II,"Security-related improvements at various schools, including installing or upgrading PA and alarm systems.",Boston Public Schools,Annual Program,Citywide,2810000,0,0,0,0,0,0,50000,1250000,1510000,0,0,0,0,0,2810000,8430000
149,Parks and Recreation Department,Winthrop Playground,"Design of comprehensive park renovation including play equipment, splash pad, stairs, lighting, basketball and tennis court.",Parks and Recreation Department,In Design,Roxbury,500000,1900000,0,0,400000,0,0,50000,1500000,850000,0,0,400000,0,0,2800000,8400000
150,Fire Department,Moon Island Seawall,Design for infrastructure improvements to seawall adjacent to the Fire Department Training Academy.,Public Facilities Department,In Design,Harbor Islands,800000,2000000,0,0,0,0,0,100000,250000,2450000,0,0,0,0,0,2800000,8400000
151,Transportation Department,Warren Street and Blue Hill Avenue,Reconstruct Warren Street and Blue Hill Avenue from Nubian Square to Talbot Avenue to improve connections to Grove Hall. State and federal construction funding anticipated.,Transportation Department,In Construction,Roxbury,500000,0,0,666074,0,0,196203,150000,153797,0,639932,26142,0,0,2377900,3543974,8254022
152,Boston Centers for Youth and Families,BCYF Clougherty Pool,"Make upgrades to the pool, pool deck, the bath house, and mechanical systems.",Public Facilities Department,To Be Scheduled,Charlestown,400000,0,2300000,0,0,0,1936,0,250000,2448064,0,0,0,0,0,2700000,8100000
153,Parks and Recreation Department,Field Lights at Various Parks,Upgrade park field lights at various locations including Hemenway Park and Fallon Field.,Parks and Recreation Department,In Construction,Various neighborhoods,2700000,0,0,0,0,0,65816,68000,50000,2516184,0,0,0,0,0,2700000,8100000
154,Parks and Recreation Department,McKinney Playground,Partial implementation of the master plan including ball field renovations and pathway improvements.,Parks and Recreation Department,In Design,Allston/Brighton,1010000,0,1000000,0,0,0,45000,300000,665000,1000000,0,0,0,0,750000,2760000,7530000
155,Environment Department,Climate Ready Streets,"Plan, design, and construct infrastructure in areas on and adjacent to public streets that reduce storm water flooding, protect residents from extreme heat, and improve air quality. Program will target transit corridors with on-going capital projects.",Environment Department,New Project,Citywide,0,2500000,0,0,0,0,0,0,500000,2000000,0,0,0,0,0,2500000,7500000
156,Boston Public Schools,Fire Systems at Various Schools,Upgrade or replace fire alarms and/or fire protection systems at various schools.,Public Facilities Department,To Be Scheduled,Various neighborhoods,1000000,0,1500000,0,0,0,0,0,500000,2000000,0,0,0,0,0,2500000,7500000
157,Transportation Department,Operations Center at 12 Channel Street,"Renovations to address interior office improvements, heating, ventilation, and sound.",Public Facilities Department,In Construction,South Boston,2500000,0,0,0,0,0,1505520,244480,750000,0,0,0,0,0,0,2500000,7500000
158,Public Works Department,Commonwealth Avenue Phase 3 and 4,"Design and reconstruct Commonwealth Avenue from Packards Corner to Kelton Street, with the addition of a cycle track. State construction funding anticipated.",Public Works Department,In Design,Allston/Brighton,2500000,0,0,0,0,0,1056896,200000,200000,1043104,0,0,0,0,0,2500000,7500000
159,Boston Centers for Youth and Families,BCYF Marshall Community Center Pool,Repair pool systems at BCYF Marshall. Upgrade pool liner and filtration system.,Public Facilities Department,In Construction,Dorchester,2500000,0,0,0,0,0,128305,900000,771695,700000,0,0,0,0,0,2500000,7500000
160,Transportation Department,Strategic Bike Network: Mass. Ave. South of Melnea Cass Blvd.,"Reconfigure an existing pedestrian island at Massachusetts Avenue between Melnea Cass and Theodore Glynn, and create a bike lane from Columbia Road in Dorchester to Melnea Cass in Roxbury/South End.",Public Works Department,In Construction,Dorchester,2400000,0,0,0,0,0,0,50000,250000,2100000,0,0,0,0,0,2400000,7200000
161,Parks and Recreation Department,Murphy Playground,Renovation of park including refurbishing ball fields.,Parks and Recreation Department,To Be Scheduled,Jamaica Plain,250000,2150000,0,0,0,0,0,0,150000,2250000,0,0,0,0,0,2400000,7200000
162,Parks and Recreation Department,Court Renovations,"Annual program to rehabilitate tennis, basketball, and street hockey courts citywide.  ",Parks and Recreation Department,Annual Program,Citywide,2375000,0,0,0,0,0,0,0,800000,1575000,0,0,0,0,0,2375000,7125000
163,Parks and Recreation Department,Byrne Playground,"Renovate park including play lots, courts, and passive areas.",Parks and Recreation Department,New Project,Dorchester,0,400000,1970000,0,0,0,0,0,150000,2220000,0,0,0,0,0,2370000,7110000
164,Parks and Recreation Department,Penniman Road Play Area,"Design for a comprehensive park renovation including drainage, play lot, courts, passive areas, pathways, landscaping, site furnishings and infrastructure.",Parks and Recreation Department,To Be Scheduled,Allston/Brighton,300000,1750000,0,0,0,0,0,0,120000,1930000,0,0,0,0,270000,2320000,6690000
165,Parks and Recreation Department,O'Day Playground,"Renovate park including play lots, water play, basketball court, and plaza area.",Parks and Recreation Department,New Project,South End,0,400000,1830000,0,0,0,0,0,150000,2080000,0,0,0,0,0,2230000,6690000
166,Public Works Department,Harrison Avenue Improvements,Road reconstruction improvements to Harrison Avenue between East Berkeley Street and Herald Street.,Public Works Department,In Design,South End,0,0,0,2222050,0,0,0,0,0,0,0,72050,100000,2050000,0,2222050,6666150
167,Property Management Department,Family Justice Center Building Envelope Repairs,Window replacements and building envelope improvements.,Public Facilities Department,In Design,Allston/Brighton,2200000,0,0,0,0,0,0,100000,500000,1600000,0,0,0,0,0,2200000,6600000
168,Property Management Department,201 Rivermoor ,Install new backup generator and high density shelving for City archives. Upgrade HVAC to optimize building conditions for long term storage. Relocate the Archeology Department.,Public Facilities Department,In Design,West Roxbury,2160000,0,0,0,0,0,0,0,50000,2110000,0,0,0,0,0,2160000,6480000
169,Boston Public Schools,CASH School Roof,Repair the roof and the building exterior.,Public Facilities Department,New Project,Dorchester,0,2150000,0,0,0,0,0,0,500000,1650000,0,0,0,0,0,2150000,6450000
170,Transportation Department,Eagle Square ,Design for traffic flow and safety improvements in Eagle Square.,Transportation Department,To Be Scheduled,East Boston,150000,0,0,2000000,0,0,0,0,100000,50000,0,0,200000,1800000,0,2150000,6450000
171,Parks and Recreation Department,Harambee Park Phase 4,Reconstruction of both cricket fields and the little league field.,Parks and Recreation Department,To Be Scheduled,Dorchester,2090000,0,0,0,0,0,0,0,500000,1590000,0,0,0,0,0,2090000,6270000
172,Boston Planning and Development Agency,RFMP Resiliency Improvements,Climate resilience improvements at the Raymond Flynn Marine Park.,Boston Planning and Development Agency,In Design,South Boston,2075000,0,0,0,0,0,153974,21026,500000,1400000,0,0,0,0,0,2075000,6225000
173,Public Works Department,Street Light Gas Lamps,"Using utility subsidies, this program is designed to retrofit solar powered timers to activate gas lamp street lights.",Public Works Department,Annual Program,Various neighborhoods,950000,0,900000,187500,0,0,79400,100000,450000,1220600,24250,28250,0,135000,0,2037500,6112500
174,Boston Public Schools,Auditorium Improvements,"Repair and upgrade auditorium facilities at various schools, including lighting, seating, and sound equipment.",Boston Public Schools,To Be Scheduled,Citywide,250000,1750000,0,0,0,0,0,0,1000000,1000000,0,0,0,0,0,2000000,6000000
175,Transportation Department,Blossom Street,"Upgrades to Blossom Street including upgraded lighting, geometric changes for pedestrian safety, roadway resurfacing, and pavement markings including bicyclist accommodations.",Public Works Department,In Design,West End,0,0,0,2000000,0,0,0,0,0,0,0,0,200000,1800000,0,2000000,6000000
176,Boston Centers for Youth and Families,BCYF Hyde Park Community Center,Renovate interior spaces to provide community neighborhood-based healthcare services.,Public Facilities Department,To Be Scheduled,Hyde Park,2000000,0,0,0,0,0,0,0,200000,1800000,0,0,0,0,0,2000000,6000000
177,Parks and Recreation Department,Safety Surfacing Replacement,Upgrade and replace safety surfacing at various City parks.,Parks and Recreation Department,Implementation Underway,Citywide,2000000,0,0,0,0,0,150813,349187,500000,1000000,0,0,0,0,0,2000000,6000000
178,Parks and Recreation Department,Geneva Cliffs Urban Wild,"Reprogram Geneva Cliffs from an Urban Wild to a city park with playground, passive seating, walking paths, and accessible entrances.",Parks and Recreation Department,New Project,Roxbury,0,400000,1600000,0,0,0,0,0,150000,1850000,0,0,0,0,0,2000000,6000000
179,Parks and Recreation Department,Urban Wilds,"Renovate walls, walkways, and signage within urban wilds owned by the Environment Department and the Parks and Recreation Department.",Parks and Recreation Department,Annual Program,Citywide,800000,0,1200000,0,0,0,0,0,400000,1600000,0,0,0,0,0,2000000,6000000
180,Parks and Recreation Department,Cutillo Park,"Design for a comprehensive park renovation including drainage, play lot, courts, passive areas, pathways, landscaping, site furnishings and infrastructure.",Parks and Recreation Department,In Design,North End,2000000,0,0,0,0,0,41502,258498,1700000,0,0,0,0,0,0,2000000,6000000
181,Public Health Commission,Long Island Recovery Campus,Renovate existing buildings on Long Island to support the creation of a recovery campus.,Public Facilities Department,To Be Scheduled,Harbor Islands,2000000,0,0,0,0,0,3178,146823,1000000,849999,0,0,0,0,0,2000000,6000000
182,Boston Public Schools,Entryway Improvements at Various Schools,"Improve entryways to create a more welcoming, calm, and safe environment, including upgrades to security, doors, lighting, and wayfinding at various schools.",Boston Public Schools,To Be Scheduled,Various neighborhoods,2000000,0,0,0,0,0,0,250000,500000,1250000,0,0,0,0,0,2000000,6000000
183,Parks and Recreation Department,Titus Sparrow Park,Improve the playground; renovate the tennis and basketball courts.,Parks and Recreation Department,In Design,South End,100000,0,1880000,0,0,0,3071,126929,1300000,550000,0,0,0,0,0,1980000,5940000
184,Parks and Recreation Department,Flaherty (William F.) Playground ,Upgrade play lot.,Parks and Recreation Department,In Design,Jamaica Plain,1930000,0,0,0,0,0,0,25000,500000,1405000,0,0,0,0,0,1930000,5790000
185,Fire Department,Fire Alarm Roof and Antenna,"Exterior repointing, roof replacement, skylight replacement, and repairs to rooftop masonry and antenna supports.",Public Facilities Department,In Construction,Fenway/Kenmore,1921700,0,0,0,0,0,57966,20000,1500000,343734,0,0,0,0,0,1921700,5765100
186,Transportation Department,Transportation Planning,"Develop and test new mobility strategies that pertain to transportation demand management, electric vehicles, and neighborhood mobility hubs.",Transportation Department,Annual Program,Citywide,915000,1000000,0,0,0,0,0,0,600000,1315000,0,0,0,0,0,1915000,5745000
187,Boston Public Schools,Kennedy Academy Envelope,"Repair roof, masonry, windows, and doors.",Boston Public Schools,In Design,Mission Hill,1892212,0,0,0,0,0,0,0,100000,1792212,0,0,0,0,0,1892212,5676636
188,Police Department,Technology Upgrades at District Stations,Software upgrades to enhance digital security at BPD locations.,Police Department,To Be Scheduled,Various neighborhoods,1890000,0,0,0,0,0,0,0,0,1890000,0,0,0,0,0,1890000,5670000
189,Parks and Recreation Department,General Parks Improvements,"Replace fencing, pavement, court lighting, and other infrastructure improvements needed.",Parks and Recreation Department,Annual Program,Citywide,1600000,250000,0,0,0,0,0,750000,1000000,100000,0,0,0,0,0,1850000,5550000
190,Parks and Recreation Department,Dorchester Park Pathways,Mill and repave existing paved walkways in Dorchester Park.,Parks and Recreation Department,To Be Scheduled,Dorchester,1820000,0,0,0,0,0,0,0,100000,1720000,0,0,0,0,0,1820000,5460000
191,Parks and Recreation Department,Public Garden Lagoon,"Repair and backfill missing, destroyed, and leaking granite coping surrounding the lagoon.",Parks and Recreation Department,Annual Program,Beacon Hill,965000,835000,0,0,0,0,0,0,300000,1500000,0,0,0,0,0,1800000,5400000
192,Parks and Recreation Department,Crawford Street Playground,"Design for a comprehensive park improvement including play area, little league field, and passive areas.",Parks and Recreation Department,In Design,Roxbury,1800000,0,0,0,0,0,0,100000,250000,1450000,0,0,0,0,0,1800000,5400000
193,Boston Centers for Youth and Families,BCYF Tobin Community Center Retaining Wall,Repair or replace the retaining wall adjacent to the BCYF Tobin Community Center.,Public Facilities Department,In Design,Mission Hill,211000,1589000,0,0,0,0,0,25000,175000,1600000,0,0,0,0,0,1800000,5400000
194,Public Works Department,Washington Street / Traveler Street,"Roadway improvements to Washington Street from East Berkeley Street to Herald Street, and Traveler Street between Washington Street and Harrison Avenue. Improvements include resurfacing, pavement markings, and new traffic signals.",Public Works Department,In Construction,South End,0,0,0,1750000,0,0,0,0,0,0,446258,303742,1000000,0,0,1750000,5250000
195,Public Works Department,Friend Street,Reconstruct street and sidewalk on Friend Street from New Chardon Street to Causeway Street.,Public Works Department,In Construction,Financial District/Downtown,1750000,0,0,0,0,0,1041566,208434,500000,0,0,0,0,0,0,1750000,5250000
196,Transportation Department,Bikeshare Dock Replacement,"Replace portions of City's bikeshare system, including docks, kiosks and bikes.",Transportation Department,To Be Scheduled,Various neighborhoods,0,0,0,500000,750000,500000,0,0,0,0,0,500000,500000,750000,0,1750000,5250000
197,Boston Public Schools,Everett School Roof,Replace roof.,Public Facilities Department,In Construction,Dorchester,1741924,0,0,0,0,0,42322,999602,700000,0,0,0,0,0,0,1741924,5225772
198,Parks and Recreation Department,Clarendon Street Playground,Upgrade play equipment.,Parks and Recreation Department,In Design,Back Bay,1730000,0,0,0,0,0,42710,187290,1000000,500000,0,0,0,0,0,1730000,5190000
199,Public Works Department,Downtown Crossing,"Design improvements to the Washington Street/Summer Street/Winter Street intersections, including reconstruction of the roadway, implementation of a pedestrian zone or shared street, and security improvements.",Public Works Department,In Design,Financial District/Downtown,700000,1000000,0,0,0,0,32231,267769,400000,1000000,0,0,0,0,0,1700000,5100000
200,Boston Public Schools,Winthrop School Roof,Replace the roof.,Public Facilities Department,New Project,Dorchester,0,1700000,0,0,0,0,0,0,500000,1200000,0,0,0,0,0,1700000,5100000
201,Boston Public Schools,Bradley School Envelope,"Repair masonry, windows, and doors.",Public Facilities Department,In Design,East Boston,1663839,0,0,0,0,0,0,0,110000,1553839,0,0,0,0,0,1663839,4991517
202,Transportation Department,Parking Meter and School Zone Signal Upgrade ,Upgrade the technological infrastructure for all City meters and school zone signals.,Transportation Department,In Construction,Various neighborhoods,0,0,0,1650000,0,0,0,0,0,0,0,150000,250000,1250000,0,1650000,4950000
203,Parks and Recreation Department,Mother's Rest at Four Corners,Design for comprehensive park improvements including play area and passive areas.,Parks and Recreation Department,In Design,Dorchester,1610000,0,0,0,0,0,0,50000,350000,1210000,0,0,0,0,0,1610000,4830000
204,Police Department,Roofs at  District C-11 and E-13,Replace roofs at District C11 and District E13.,Public Facilities Department,New Project,Various neighborhoods,0,1600000,0,0,0,0,0,0,300000,1300000,0,0,0,0,0,1600000,4800000
205,Parks and Recreation Department,Hynes Playground,"Improvements to baseball and softball fields including; drainage, backstops, players benches, and infield repairs.",Parks and Recreation Department,In Construction,West Roxbury,1600000,0,0,0,0,0,33688,66312,1500000,0,0,0,0,0,0,1600000,4800000
206,Public Works Department,Street Light LED Conversion,A City-wide project to convert mercury and sodium vapor streetlights to light emitting diode (LED) lights.,Public Works Department,Annual Program,Citywide,1000000,540000,0,0,0,0,0,0,1540000,0,0,0,0,0,0,1540000,4620000
207,Parks and Recreation Department,Historic Cemeteries,Ongoing program of repairs in designated historic cemeteries located throughout the City.,Parks and Recreation Department,Annual Program,Citywide,1000000,0,500000,0,0,0,0,0,400000,1100000,0,0,0,0,0,1500000,4500000
208,Transportation Department,Accessible Pedestrian Signals,"Purchase and install APS devices for new construction, major reconstructions, and by request as outlined in the City's response to the federal mandate.",Transportation Department,Annual Program,Citywide,0,1500000,0,0,0,0,0,0,350000,1150000,0,0,0,0,0,1500000,4500000
209,Public Works Department,Massachusetts Avenue and Melnea Cass Boulevard Intersection,"Re-design the intersection of Massachusetts Avenue and Melnea Cass Boulevard to improve pedestrian, bicycle and vehicular safety.",Public Works Department,In Design,South End,500000,1000000,0,0,0,0,0,0,500000,1000000,0,0,0,0,0,1500000,4500000
210,Police Department,Station Facility Repairs,Capital maintenance at various BPD facilities including exterior repairs.,Police Department,To Be Scheduled,Various neighborhoods,1500000,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000,4500000
211,Parks and Recreation Department,Edwards Playground,"Renovations to the playground including safety surfacing; passive park improvements including site furnishings, upgraded utilities and pathways.",Parks and Recreation Department,In Construction,Charlestown,1490000,0,0,0,0,0,80411,1009589,400000,0,0,0,0,0,0,1490000,4470000
212,Boston Public Library,North End Branch Library,Assess the existing interior and exterior physical conditions and systems according to how ably the branch can accomplish the Compass principles; develop and implement an improvement plan.,Public Facilities Department,To Be Scheduled,North End,865000,0,610000,0,0,0,4183,0,0,1470817,0,0,0,0,0,1475000,4425000
213,Parks and Recreation Department,Coppens Square,Design and construction of park improvements including replacement of the Mayor Theodore Lyman fountain that was removed in 1951.,Parks and Recreation Department,In Design,Dorchester,1375000,100000,0,0,0,0,0,0,250000,1225000,0,0,0,0,0,1475000,4425000
214,Parks and Recreation Department,Ryan Play Area,Design for a comprehensive park improvements including play area and passive areas.,Parks and Recreation Department,In Design,Dorchester,1470000,0,0,0,0,0,50557,49443,400000,970000,0,0,0,0,0,1470000,4410000
215,Parks and Recreation Department,Justice Gourdin Veterans Memorial Park,"Major park renovation including pathways, walls, plazas, ADA improvements, and landscaping.",Parks and Recreation Department,In Construction,Roxbury,1455000,0,0,0,0,0,102306,1017694,285000,50000,0,0,0,0,0,1455000,4365000
216,Parks and Recreation Department,Codman Square,Implementation of redesign of Codman Square Park.,Parks and Recreation Department,In Design,Dorchester,640000,0,0,0,0,0,4485,15515,120000,500000,0,0,0,0,1170000,1810000,4260000
217,Parks and Recreation Department,Jeep Jones Park,Study and design for park renovations.,Parks and Recreation Department,In Construction,Roxbury,1360000,0,0,0,0,0,70390,879610,300000,110000,0,0,0,0,0,1360000,4080000
218,Transportation Department,Green Links,Annual program to create a connected network of pedestrian and bicycle paths that will allow more access to green open spaces.,Transportation Department,Annual Program,Various neighborhoods,700000,0,500000,150116,0,0,288429,111571,270000,530000,118210,15000,16906,0,0,1350116,4050348
219,Parks and Recreation Department,Walnut Park Play Area,Upgrade play lot.,Parks and Recreation Department,In Design,Roxbury,1340000,0,0,0,0,0,0,100000,500000,740000,0,0,0,0,0,1340000,4020000
220,Boston Public Schools,Snowden International School Roof,Replace roof.,Public Facilities Department,In Construction,Back Bay,1301635,0,0,0,0,0,84949,500000,716686,0,0,0,0,0,0,1301635,3904905
221,Parks and Recreation Department,Dudley Town Common,"Improvements to Dudley Town Common to support the use of this neighborhood ""Common"" for gathering and civic uses.",Parks and Recreation Department,In Design,Roxbury,972000,0,298000,0,0,0,0,0,50000,1220000,0,0,0,0,0,1270000,3810000
222,Parks and Recreation Department,Walker Playground,Upgrades to play lot.,Parks and Recreation Department,In Construction,Mattapan,1215000,0,0,0,0,0,78736,731264,405000,0,0,0,0,0,0,1215000,3645000
223,Public Works Department,Retaining Walls,"Construction funds to support a multi-year capital improvement program to repair and maintain retaining walls in the public right-of-way.
",Public Works Department,Annual Program,Citywide,1200000,0,0,0,0,0,565504,25000,200000,409496,0,0,0,0,0,1200000,3600000
224,Public Works Department,Amory Street Extension,"Reconstruct road, sidewalks, and lighting from Amory Street to the end.",Public Works Department,In Design,Roxbury,1000000,200000,0,0,0,0,0,0,250000,950000,0,0,0,0,0,1200000,3600000
