license_num,historicallicensenum,status,license_category,license_type,issued,expires,business_name,dba_name,comments,location_comments,opening,closing,patronsout,capacity,applicant,manager,day_phone,evening_phone,address,city,state,zip,gpsx,gpsy
LB-483679,,Active,CV,CV7 All Alc. Airp.,2022-08-24,2022-12-31,"PremAir of Boston, LLC",Harpoon Tap Room,,"Logan International Airport, Terminal A, space AS2-A13/1. Post security, satellite, gate area, total square footage is 1,358 with a seating capacity of 65.   ",,30 minutes prior to last departure,,65.00," PremAir of Boston, LLC.", Kelliann Van Kleeck McClintock,(305)898-7414,,100     Terminal RD,East Boston,MA,02128,785396.803968415,2958229.8427222
LB-472011,,Active,CV,Common Victualler,2022-08-22,2022-12-31,"Cafe Darq, LLC",Cafe Darq,Monday Thursday 7 30 AM 9 00 PM Friday Sunday 10,"In two room on the group floor, Room one - kitchen with sinks, storage and shelving. Room 2. Customer service and seating..",7:30 AM,10:00  PM,10:30 PM,18.00," Cafe Darq, LLC",Kathy Phan,,,40-   Beach ST,Boston,MA,02111,774672.420696764,2953471.13061936
LB-480567,,Active,CV,Common Victualler,2022-08-22,2022-12-31,"Nguyen's Restaurant, Inc.",Phuong Nam Restaurant,<h2><b>&nbsp;</b></h2>,"Serving area, and kitchen on first floor, basement storage.",10:00 AM,10:00 PM,10:30 PM,95.00," Nguyen's Restaurant, Inc.",Kenny Dang,(617)506-8982,,291-   Adams ST,Boston,MA,02122,775693.188466263,2934358.58445109
LB-445438,,Active,CV,Common Victualler,2022-08-18,2022-12-31,Al Abraar Restaurant Inc,All Spice Restaurant,,"Ground floor with four (4) rooms (dining area, kitchen, pantry & bathroom). kitchen & storage in the back. aka 41 Worcester Square.",10:30 AM,8:00 PM,8:30 PM,20.00, Al Abraar Restaurant Inc.,Shamso Dirie,(617)266-5300,,805-   Harrison AVE,Roxbury,MA,02118,771305.999994054,2947720.00000516
LB-486860,,Active,CV,Common Victualler,2022-08-16,2022-12-31,"DELTA AIR LINES, INC.",DELTA SKY CLUB,,"Approximately 3,506 SF of lounge space on a single floor located in Terminal E of Logan Airport with 81 seats, reception area, dining and buffet area, pantry storage restrooms, one entrance and two exits.",12:00 PM,Midnight,12:30 AM,86.00," Delta Air Lines, Inc.",Rebecca Bassila,(617)568-2070,,"      Logan Airport, Terminal E  ",East Boston,MA,02128,0,0
LB-470781,,Active,CV,Common Victualler,2022-08-09,2022-12-31,"The Little Cocoa Bean Company, LLC",Little Cocoa Bean Co.,,"First floor cafe with a small seating area. Contains storage, a large classroom, office, bathroom and a kids' play space.",7:00 AM,7:00 PM,7:30 PM,20.00," The Little Cocoa Bean Company, LLC", SKELLY TRACY A,(617)331-3226,,114-   South ST,Boston,MA,02130,760383.463761298,2936773.37382791
LB-475185,,Active,CV,Common Victualler,2022-08-08,2023-12-31,"Energize, LLC",Energize,,"Ground floor, open concept kitchen with tables.",8:00 AM,8:00 PM,8:30 PM,8.00," Energize, LLC",Ivaylo Dimitrov,(781)290-7769,,1930-   Beacon ST,Boston,MA,02135,750843.419062273,2947799.82281922
LB-483837,,Active,CV,Common Victualler,2022-08-04,2022-12-31,"Blue Bottle Coffee, LLC",Blue Bottle Coffee,,"Cafe on 1 floor witrh counter service and seating for patrons. Restroom for patrons & staff. Kitchen, food prep areas, and storage. (aka 43-61 Pier 4 Blvd).",7:00 AM,7:00 PM,7:30 PM,20.00," Blue Bottle Coffee, LLC",Robert Baldridge,,,113-  Autumn Ln,Boston,MA,02210,779140.374056248,2952995.06919469
LB-485681,,Active,CV,Common Victualler,2022-08-03,2022-12-31,"Light Delight, LLC",,,In one room on the first floor with kitchen and storage in the rear.,10:00 AM,8:00 PM,8:30 PM,0.00," Light Delight, LLC",Dan Wu,(617)458-3008,,44- N Beacon ST,Allston,MA,02134,753549.297467379,2954131.46145099
LB-482851,,Active,Club,Clb. All Alc. Airport,2022-08-01,2022-12-31,"DELTA AIR LINES, INC.",Delta Sky Club Express,,"Approximately 3,506 SF of lounge space on a single floor located in Terminal E of Logan Airport with 81 seats, reception area, dining and buffet area, pantry storage restrooms, one entrance and two exits.",,2:00 AM,2:30 AM,86.00," Delta Air Lines, Inc.", Rebecca Bassila,(617)568-2070,,"      Logan Airport, Terminal E  ",East Boston,MA,02128,0,0
LB-481528,,Active,CV,Common Victualler,2022-07-28,2022-12-31,"Drydock Coffee, LLC",Render Coffee,,"First floor lobby. Counter, Prep/storage room and 2 bathrooms.",7:00 AM,5:00 PM,5:30 PM,49.00," Drydock Coffee, LLC",Christopher Dadey,(617)963-0148,,2-  Dry Dock AVE,Boston,MA,02210,781149.346658456,2951071.09866224
LB-480008,,Active,Misc,Retail Malt Wine,2022-07-26,2022-12-31,"La Riqueza Market, Inc. ",La Riqueza Market,,"3 story preexisting structure with convenience store on first floor (855SF).  First floor includes one room for the convenience store, private storage areas, and an employee restroom. ",,9:00PM,9:30 PM,0.00, La Riqueza Market Inc, Jose W. Perez,(617)346-1788,,132-   Meridian ST,Boston,MA,02128,780664.956791642,2961534.74555382
LB-463019,,Active,Inn,Innholder No Liquor,2022-07-20,2022-12-31,"Sonder Hospitality USA , Inc.",,,"Four story building, Floor 1-Entrance, Floor 2 -Four private rooms with private bathrooms, access to terrace, Floor3 -Four private rooms with private bathrooms; Floor 4-Four private rooms with 4 private bathrooms",,,,0.00," Sonder Hospitality USA, Inc",Gregg Klein,(617)300-0956,,234-  Newbury ST,Boston,MA,02116,769264.789784148,2952705.6389538
LB-481086,,Active,Misc,Retail All Alc.,2022-07-19,2022-12-31,Fresh Boston Retail LLC,Fresh Boston,No Nips Singles,In one section of first floor of 232 Old Colony Avenue consisting of 341 square feet with one entrance.,,11:00 PM,,0.00, Fresh Boston Retail LLC, Alexis Sillery,(781)243-9346,,232-  Old Colony AV,South Boston,MA,02127,776951.174285306,2946439.71468308
LB-483515,,Active,CV,Common Victualler,2022-07-16,2022-12-31,"Machi Boston, LLC",Machi Machi,,"First floor816 Sq.Ft. Service counter area, kitchen/prep room in bac. One entrance, one exit. Storage room in basement.",11:00 AM,12:00 AM,12:30 AM,0.00," Machi Boston, LLC",Pui Siu Chung,(781)308-1164,,176-   Harvard AVE,Boston,MA,02134,755810.657968998,2953334.52276537
LB-483771,,Active,CV,Common Victualler,2022-07-15,2022-12-31,"Ten One Fenway, LLC",Ten One Teahouse,,"Street level retail, 1 restroom tea station for tea brewing.",12:00 PM,9:00 PM,9:30 PM,0.00," Ten One Fenway, LLC",Yuchen Yu,(401)480-4787,,1323-  Boylston St,Boston,MA,02215,764407.518194653,2950846.35758706
LB-476657,,Active,CV,CV7 All Alc. Airp.,2022-07-15,2022-12-31,"DLW DINE BOSTON, LLC",Dine Boston Bar & Grille,,"a 3,405SF full-service bar and restaurant (seating for 95) on the 3rd level at the west end (pre-security) of Terminal E.  ",,2:00 AM,2:30 AM,285.00," DLW Dine Boston, LLC", Antonio Alicea,(781)521-9643,,"      Logan Airport, Terminal E  ",East Boston,MA,02128,0,0
LB-482017,,Active,CV,Common Victualler,2022-07-11,2022-12-31,"Vester Southie, LLC",Vester,,First floor lobby of an office building. counter Service for takeout only with prep area and storage.,7:00 AM,5:00 PM,5:30 PM,0.00," Vester Southie, LLC",Nicole Liu,(201)888-6185,,105- W First ST,South Boston,MA,02127,776951.557133364,2950372.66990008
LB-483181,,Active,CV,Common Victualler,2022-07-07,2022-12-31,Huy Nguyen,Pho Real & Mochi Dough,,Basement level large open area with bar seating and tables. Additional form for storage. Kitchen in the rear with bathrooms in between the kitchen and dining areas. Seasonal (April-Oct) patio on private property for 50 patrons. same hours as the restaurant.,11:00 AM,9:00 PM,9:30 PM,132.00,Huy Nuyen,Huy Nguyen,(617)602-1080,,279-   Newbury ST,Boston,MA,02116,768615.098775536,2952617.18512972
LB-469475,,Active,Misc,Retail Malt Wine,2022-07-05,2022-12-31,Archana Corp,EZ Market,No singles,"Premise is 77 Stoughton St Dorchester MA-Convenience Retail Store on 1st Floor consisting of approximately 2,570SF of land , storage located in the back of the store and two arrears of egress. ",,9:00 PM,,0.00, Archana Corp, Devyani Patel,(617)514-7800,,77-   Stoughton ST,Boston,MA,02125,774452.84661509,2940412.58130032
LB-456273,,Active,CV,Common Victualler,2022-07-01,2022-12-31,"ZAZ RESTAURANT & CATERING, CORP.",ZaZ x City Hall,,In one room on the 8th floor with kitchen in the rear..,7:00 AM,4:00 PM,4:30 PM,20.00, Zaz Restaurant & Catering Corp.,Orlie Roberts,(617)637-0327,,1     City Hall PZ,Boston,MA,02201,775653.788333916,2956565.26400676
LB-461004,,Active,CV,Common Victualler,2022-06-17,2022-12-31,"Cantina Hospitality, LLC",Taco Bell,Sun Thur 9 00 AM 12 Fri amp Sat 1,"Restaurant on two floors, First floor; seating for 14, service counter, rest room for customers, and kitchen area. Basement; food storage and prep area.",9:00 AM,1:00 AM,1:30 AM,14.00," Cantina Hospitality, LLC",Jamal Mercer,,,449- W Broadway ,South Boston,MA,02127,778700.74443311,2947767.63231851
LB-476651,,Active,Misc,Retail Malt Wine,2022-06-15,2022-12-31,Scire Fruit,Going Bananas Market,No singles,"Premise consist of a grocery store consisting of sixteen hundred (1,600) square feet of space on the first floor and one (1,000) square feet of basement space located at 64 Salem Street unit C1, Boston, MA. ",,9:00 PM,,0.00," Scire Fruit, INC", Frank Scire,(781)636-8158,,64-   Salem ST,Boston,MA,02113,776128.709167265,2957760.70373709
LB-480104,,Active,CV,Common Victualler,2022-06-10,2022-12-31,"Sciole SR, LLC",North End Creamery,,"First floor customer service area, basement for storage.",11:00 AM,11:00 PM,11:30 PM,0.00," Sciole SR, LLC",Sandra Russo,(617)780-2369,,121     Salem ST,Boston,MA,02113,776329.178046733,2958188.1306069
LB-480714,,Active,CV,Common Victualler,2022-06-02,2022-12-31,"The Oyster Bar, Inc.",The Oyster Bar,10 00 AM 9 PM Mon Sat amp 6 on Sundays Temporary CV pending Alcohol License approval,First floor in Quincy Market Building. kitchen and prep area behind the customer service counter.,10:00 AM,9:00 PM,9:30 PM,35.00," The Oyster Bar, Inc.",Sergio Goncalves,(617)590-2206,,200     Faneuil Hall Marketplace  ,Boston,MA,02109,776491.999998882,2956600.00001343
LB-471198,,Active,CV,CV7ALN - Neighborhood Restricted,2022-05-30,2022-12-31,Bella Haven Restaurant Group,The Haven at the Brewery,,,,1:00AM,1:30 AM,174.00, Bella Haven Restaurant Group, Jason Waddleton,(617)792-9092,,284-  Amory ST,Jamaica Plain,MA,02130,763321.291676366,2939914.80902498
LB-475763,,Active,CV,Common Victualler,2022-05-27,2022-12-31,David Cange,Fritay Restaurant,,"In one room on the first floor, kitchen in rear, storage in basement.",7:00 AM,11:00 PM,11:30 PM,10.00,David Cange,David Cange,(857)364-7362,,532-  River St,Mattapan,MA,02126,765893.498027796,2922608.30813493
LB-468134,,Active,Club,Clb. All Alc. Airport,2022-05-20,2022-12-31,Airist Boston Co Inc,Airist Boston,,The Virgin Atlantic Club is located in Terminal E within the Logan Airport.  There are (2) entrances and exits within approximately 2956 SF Club Lounge. There is one level to the club.  There is one bar on the premise. Alcohol will be stored within a Locked Cabinet in the storeroom.  Seating Capacit,,2:00 AM,2:30 AM,80.00, Airist Boston Co Inc, Ohkwan Kwon,(617)866-3561,,500     Logan Airport Terminal E  ,East Boston,MA,02128,0,0
LB-466919,,Active,CV,Common Victualler,2022-05-18,2022-12-31,"Sweetgree Boston, LLC",Sweetgreen,,"Fast casual restaurant serving salads, grain bowls, and non-alcoholic beverages with standard kitchen equipment. All on one floor with seating.",10:30 AM,10:00 PM,10:30 PM,23.00," Sweetgreen Boston, LLC",Oscar Ramirez,(339)970-1588,,300-  Cambridge ST,Boston,MA,02114,772791.208771115,2956847.28400846
LB-471191,,Active,Misc,Retail Malt Wine,2022-05-16,2022-12-31,"Bay Sweets, LLC",Bay Sweets Market,,"Premise is 11,364SF total: 5,682SF in one main room on ground floor, main entrance/exit on Spring Street. Additional exit in rear. 5,682SF in basement for prep kitchen, storage and offices. ",,6:00 PM,6:30 PM,0.00," Bay Sweets, LLC", Victor Leon,(617)327-3737,,120-   Spring ST,West Roxbury,MA,02132,746719.324195146,2925961.6122089
LB-464488,,Active,CV,CV7 All Alc. Airp.,2022-05-16,2022-12-31,"SODEXO OPERATIONS, LLC",Lufthansa Business Lounge,,"6,796SF business lounge located within Terminal E of Logan International Airport providing food and beverages to airline passengers. Premise is one-story with a kitchen and a dining area. The seating count is 132 and the legal occupancy is 347. There are 4 entrances/exits to the premises.  ",,10:00 PM,10:30 PM,347.00," Sodexo Operations, LLC", Kendra Lombard,(301)587-4504,,500     Logan Airport Terminal E  ,East Boston,MA,02128,0,0
LB-468444,,Active,CV,Common Victualler,2022-05-13,2022-12-31,"Life Alive, LLC",Life Alive Organic Cafe,,"Ground floor; 4,060 SF cafe with coffee/juice bar, dining area,kitchen, back room & 4 restrooms. Two yoga tudio rooms, & 2 shower stall rooms. Seasonal (April 1st-Nov. 30th) out door patio on priivate property with 66 seats;7:00 AM - 9:00 PM.",7:00 AM,9:00 PM,9:30 PM,138.00," Life Alive, LLC",LEAH DUBOIS,(617)354-5433,,505-  Tremont ST,Boston,MA,02116,772300.06256134,2951073.13508044
LB-472291,,Active,Misc,Lodging Houses (Frat/Dorm),2022-05-05,2023-04-30,627 Tremont Street Trust,,,6 rooms on the first floor. 7 rooms on the 2nd floor. 2 rooms on the 3rd floor. Total # of 15 rooms. Total of 15 lodgers.,,,,15.00, 627 Tremont Street Trust,Amy Shamatta,(617)803-7213,,627-   Tremont ST,Boston,MA,02118,771161.3407126,2950162.56774372
LB-475881,,Active,CV,Common Victualler,2022-05-03,2022-12-31,"Well Coffee House, Boston","The Well Coffee House, East Boston",Monday Friday 7 00 AM PM Saturday 9,"1st floor, café, kitchen (3bay sick, refrigerator, freezer, ice machine, storage racks). 2 bathrooms, mop closet, tech room, seat/venue area.",7:00 AM,7:00 PM,7:30 PM,41.00," Well Coffee House, Boston",Matthew Love,(661)204-5399,,62-  William C Kelly SQ,East Boston,MA,02128,780480.291321101,2961767.60013946
LB-476417,,Active,CV,Common Victualler,2022-05-02,2023-12-31,"PremAir of Boston, LLC",Wow Bao,,"Food court operation in Terminal E, Logan Airport, Space E3-A13/FC-03.",7:00 AM,9:00 PM,9:30 PM,0.00," PremAir of Boston, LLC",Juan Barcia,(305)594-5754,,100     Terminal RD,East Boston,MA,02128,785396.803968415,2958229.8427222
LB-464464,,Active,Misc,Retail Malt Wine,2022-04-28,2022-12-31,Virpa Corp,Square Bites,,"Premises is a 1 story preexisting structure containing approximately 3,335SF; 1,528SF in the store front and 1,807SF in the basement used for dry storage.  ",,11:00 PM,,0.00, Virpa Corp, Disha Patel,(781)526-4126,,38-  Maverick SQ,East Boston,MA,02128,780671.354818776,2960200.23502478
LB-470619,,Active,CV,Common Victualler,2022-04-26,2022-12-31,"Bennett's Store of Boston Peterborough, LLC",Bennett's Sandwich Shop,7 00 AM 9 PM Mon Sat 8 on Sundays,One room on the first floor with dining aroom and sandwich ordering/prep area.,7:00 AM,9:00 PM,9:30 PM,20.00," Bennett's Store of Boston Peterborough, LLC",Matthew Marquis,(609)724-6242,,1348-  Boylston ST,Boston,MA,02215,764471.433882385,2950576.29354091
LB-478850,,Active,CV,Common Victualler,2022-04-25,2022-12-31,"ANGLO HOSPITALITY, INC.",THE HAVEN,Monday Friday 4 00 PM 10 Saturday Sunday AM,"In two rooms (1,500 sq. ft.) on first floor, kitchen and storage in rear. Four means of egress.",10:00 AM,10:00 PM,10:30 PM,45.00," ANGLO HOSPITALITY, INC.", JASON WADDLETON,,,2-  Perkins ST,Jamaica Plain,MA,02130,761558.282896966,2942514.75244832
LB-476236,,Active,CV,Common Victualler,2022-04-14,2022-12-31,Levitate Backyard LLC,Rexicana Surf Cantina,TUESDAY THURSDAY 4 00 PM 11 FRIDAY 3 SATURDAY SUNDAY 12 TEMPORARY LICENSE,"Trailer kitchen located within Beer Garden at 81 Northern Avenue, including kitchen/prep areas, and concession window.",3:00 PM,11:00 PM,11:30 PM,0.00, Levitate Backyard LLC,Daniel Hassett,(617)548-3846,,81-  Northern AV,Boston,MA,02210,779376.584582205,2953443.14728609
LB-468377,,Active,Inn,Innholder No Liquor,2022-04-12,2022-12-31,"TDC 1234 Owner, LLC",Studio Allston Hotel,,"Bouquet art themed hotel offering 117 guest rooms including 10 suites that offer conference spaces, a fitness room and food beverage services offered by the leased restaurant operated by a third party (Casa Cana)",,,,0.00," TDC 1234 Owner, LLC",Arnaldo Almonte,(617)206-1848,,1234     Soldiers Field RD,Brighton,MA,02134,754437.480682343,2957771.00014253
LB-475184,,Active,CV,Common Victualler,2022-04-08,2022-12-31,"Bagel Guild, LLC",Bagel Guild,8 00 AM 4 PM Mon Sat amp 10 on Sundays,415 Sq Ft. stall in the Boston Public Market. Open kitchen concept where food is prepared.,8:00 AM,4:00 PM,4:30 PM,0.00," Bagel Guild, LLC",Zachary Reckling%,(857)998-7124,,100-  Hanover ST,Boston,MA,02108,775760.784734204,2957310.54375809
LB-457700,,Active,CV,CV7 All Alc.,2022-04-01,2022-12-31,Mello Vibez Restaurant LLC,,,"Dining room (18 Seats), Bar (6 seats), bathroom, kitchen and office.  Total seating capacity 26, Total square footage is 1,000SF.  Hours of operation:Mon- Fri 11am- 9pm, Sat 5pm-11pm, Sun 10am- 6pm",,11:00 PM,11:30 PM,26.00, MELLO VIBEZ RESTAURANT LLC, Melissa Dell-Lamey,(774)712-3039,,473-   River ST,Mattapan,MA,02126,766323.999989405,2923040.00001417
LB-472259,,Active,CV,Common Victualler,2022-04-01,2022-12-31,"Rootastes BPM, LLC",Rootastes BPM,,Counter service restaurant in Boston Public Market.,8:00 AM,11:00 PM,11:30 PM,0.00," Rootastes BPM, LLC",Panupak Kraiwon,(617)792-9356,,100-  Hanover ST,Boston,MA,02108,775760.784734204,2957310.54375809
LB-460883,,Active,CV,CV7 All Alc.,2022-03-31,2022-12-31,"Food Fiesta Group, LLC",Casa Bonita Mexican Grill,42 inside 24 outside,,,2:00 AM,2:30 AM,66.00," Food Fiesta Group, LLC", Felipe Duran,(857)654-7588,,1033-   Massachusetts AVE,Roxbury,MA,02118,773082.420443699,2944516.32022618
LB-465577,,Active,CV,CV7 Malt Wine Liq. Restrict.,2022-03-30,2022-12-31,Gelas Corp,Las Delicias Colombianas 2,,"Premise contains one floor approximately 850sqft. One kitchen, seating capacity for 45; 2 bathrooms, one entrance/exit.",,11:00 PM,11:30 PM,45.00, Gelas Corp, Miguel Angel Gallego,(857)928-4667,(857)342-7976,1231-  River ST,Hyde Park,MA,02136,758215.928909853,2918586.32279404
LB-465562,,Active,Misc,Retail Malt Wine,2022-03-28,2022-12-31,"A&R Variety Store, Inc.",Roslindale Variety Store,,"In one room on first floor, with entrance in front and emergency exit in rear, consisting of 1000SF. Storage in basement.",,11:00 PM,,0.00," A&R Variety Store, Inc.", Anderson Diaz,(617)323-2442,,4254-   Washington ST,Boston,MA,02131,756556.074876888,2929245.64924095
LB-470851,,Active,CV,Common Victualler,2022-03-26,2022-12-31,"RRG High Street, LLC",Blackbird Doughnuts,7 00 AM 4 PM Mon Fri 8 Sat amp Sunday,283 Sq Ft stall located in the food hall at High Street Maket Place.,7:00 AM,4:00 PM,4:30 PM,0.00," RRG High Street Boston, LLC",Rebecca Gullo,(617)482-9000,,100-  High ST,Boston,MA,02110,776367.639295317,2954509.5801199
LB-468323,,Active,CV,Common Victualler,2022-03-22,2022-12-31,"For Five Boston, LLC",For Five Coffee Roasters,,"Kiosk in the lobby of 200 State St, with storage.",7:00 AM,7:00 PM,7:30 PM,0.00," For Five Boston, LLC",George Kalogiannis,(347)531-0813,,200     State ST,Boston,MA,02109,776926.971647278,2956540.38858938
LB-461216,,Active,Misc,Retail All Alc.,2022-03-21,2022-12-31,Massachusetts Fine Wine & Spirits LLC,Total Wine Spirits Beer & More,,"The Leased Premises will be approximately 23,400 square feet of retail space on the first floor with 1 main entrance and 4 additional exists, storage, office, break room, restrooms, walk-in humidor, and wine education room. Closing hours are 10 p.m. (Mon.-Sat.), 8 p.m. (Sun.).",,10:00 PM,,0.00," Massachusetts Fine Wines & Spirits, LLC", Glenn Alan Straughn,,,8C-  Allstate RD,Dorchester,MA,02125,774771.311887138,2944547.46409917
LB-464367,,Active,CV,Common Victualler,2022-03-10,2023-12-31,"Lenox Sophia, LLC.",Lenox Sophia,Hours operation Tuesday Sunday 5 00 PM 10 Brunch AM 1,"1st floor, 3 rooms - kitchen/dining, bathroom and utility room. Kitchen is in the main room with a storage closet for supplies.",5:00 PM,10:00 PM,10:30 PM,20.00, Lenox Sophia LLC, Shi Li Mei,(617)308-3539,,87-  A ST,South Boston,MA,02127,776588.272062972,2950130.86813541
LB-466351,,Active,CV,Common Victualler,2022-03-07,2022-12-31,"Watermark Donut Company, Inc.",Dunkin',,"In one room, service in front, kitchen and storage in back.",5:00 AM,10:00 PM,10:30 PM,20.00," Watermark Donut Company, Inc.",Sean Sullivan,(617)464-4001,,157-  Seaport BLVD,Boston,MA,02210,779965.476428553,2952829.23989067
LB-465482,,Active,CV,Common Victualler,2022-03-04,2022-12-31,JAI GROUP LLC,EL JEFE'S TAQUERIA OF BU COMM AVE,,"On one floor with 2 levels, prep. kitchen, cookline, serving line, dining room and bathroom. Entire space is handicap accessible.",8:00 AM,1:00 AM,1:30 AM,30.00," JAI GROUP, LLC",John Schall,(617)669-5955,,957-   Commonwealth AVE,Boston,MA,02215,759183.44036676,2953495.11681055
LB-466920,,Active,CV,Common Victualler,2022-03-02,2022-12-31,"Air Ventures, LLC",Hudsons Coffee,,"Food court, coffee kiosk.",5:00 AM,9:00 PM,9:30 PM,0.00," Air Ventures, LLC",Mark Levine,,,"      Logan Airport, Terminal E  ",East Boston,MA,02128,0,0
