Main Entity Name,Trade Name DBA,Facility Address,Facility Neighborhood,Facility Zip Code,Type of Marijuana License,Application Status,Seeking Bos Equity Program,Submitted Date,Map Location,Main Contact Full Name,First Contact Full Name,Second Contact Full Name,Third Contact Full Name
Ascend Mass LLC,"",268-274 Friend St,West End,,Adult use dispensary,Open for Operations,No,5/3/2018,Yes,Andrea Cabral,,,
Berkshire Roots Inc..,"",251 Meridian St,East Boston,,Adult use dispensary,Open for Operations,No,6/28/2018,Yes,Andrea Nuciforo,,,
Bloominus,Bloominus,116R Cambridge St,Charlestown,,"",Withdrawn,No,4/30/2018,No,Sal LaMattina,,,
Brighton Organics,Natural Selections,345 Washington St,Brighton,,"",Inactive,No,8/30/2018,No,Kevin Conroy,,,
CloudFarming LLC.,Cornerstalk Farm,7 Nay St,East Boston,,Agricultural/Farming,Inactive,No,5/4/2018,No,Shawn Cooney,,,
CloudFarming LLC.,Cornerstalk Farm,50 Condor St,East Boston,,Agricultural/Farming,Inactive,No,5/4/2018,No,Shawn Cooney,,,
"Compassionate Organics, LLC.",Reilinger,633 Tremont St,South End,,"",Rejected - OEI,No,5/1/2018,No,Mike Ross/Geoff Reiulinger,,,
"Compassionate Organics, LLC.",Compassionate Organics or GTI,331 Newbury St,Boston,,Medical,Withdrawn,No,9/26/2019,No,Mike Ross,,,
Core Empowerment LLC.,SEED,401A Centre St,Jamaica Plain,,Adult use dispensary,Open for Operations,No,8/18/2018,Yes,Tomas Gonzalez/Derric Small,,,
"Cypress Tree Management, Inc.",Redi ,1114 Boylston St,Boston,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,7/25/2018,Yes,Jay Youmans,,,
Debken Corporation,"",204 North Beacon St,Brighton,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,5/10/2018,Yes,Ron Lipof,,,
"Dragon Vapors, LLC..","",354-358 Chestnut Hill Ave,Brighton,,"",Rejected w prejudice - BCB,No,6/27/2018,No,Christopher Ray,,,
"East Boston Bloom, LLC","",71 Maverick St,East Boston,,Adult use dispensary,Executed HCA - Pending CCC,No,10/22/2018,Yes,Jim Smith/Sal LaMattina,,,
East Boston Local Roots LLC.,"",1006 Bennington St,East Boston,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,1/31/2019,Yes,Mike Ross,,,
"Elevate ARC, LLC.","",355 Congress St,South Boston,,Adult use dispensary,Inactive,No,1/26/2019,No,"",,,
"Evergreen Farms Group, LLC.","",883 Hyde Park Ave,Hyde Park,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC - Equity,Yes,5/18/2018,Yes,Daniel Toscano/Caitlin Beresin,,,
Evoke Inc. ,"",1102 Blue Hill Ave,Dorchester,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC - Equity,Yes,5/22/2019,Yes,Cleon Byron,,,
"Greenerside Cultivation, LLC.","",552 Columbus Ave,Roxbury,,Adult use dispensary,Inactive,No,11/29/2018,No,"",,,
"Green Line Boston, Inc.","",100 Hampden St,Roxbury,,Marijuana Cultivator and Marijuana Product Manufacturer,Executed HCA - Pending CCC,No,4/30/2018,Yes,Anthony Petruccelli/Mario Signore,,,
Happy Valley,Happy Valley,60 East Springfield St,Roxbury,,"",Withdrawn,No,N/A,No,Jeff Drago,,,
Happy Valley,HVV/Happy Valley,220 McClellan Hwy,East Boston,,Medical/recreational co-located,Open for Operations,No,4/30/2018,Yes,Gilly Motta ,,,
"High Tech Farms, LLC.","",1626 Blue Hill Ave,Mattapan,,Adult use dispensary,Inactive,No,5/9/2018,No,Chauncy Spencer,,,
Holistic Health Group Inc..,"",1548 Dorchester Ave,Dorchester,,"",Rejected - OEI,No,8/3/2018,No,Colonel Boothe,,,
"Holland Brands, SB LLC.","",538 East First,South Boston,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,4/2/2019,Yes,Mike Ross ,,,
"HVV Massachusetts, Inc.",Happy Valley,1937 Beacon St,Brighton,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,7/27/2018,Yes,Jeff Drago,,,
"Legal Greens, LLC.","",693 Dudley St,Dorchester,,"",Rejected w/o prejudice - BCB - Equity,No,5/14/2019,No,Vanessa Baptiste,,,
"Level'n Up, LLC.
Lowkey LLC. (per appl on 7/27)","",571 Washington St,Dorchester,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC - Equity,Yes,4/4/2019,Yes,Jeff Similien,,,
"Liberty Compassion, Inc.",Affinity,591 Albany St,South End,,Medical,Open for Operations,No,5/2/2018,Yes,Vin Giordano/Chrissy Cicon,,,
"Mayflower Medicinals, Inc..","",230 Harvard Ave,Allston,,Medical,Open for Operations,No,10/22/2018,Yes,Mike Morris,,,
"Mayflower Medicinals, Inc..","",230 Harvard Ave,Allston,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,10/22/2018,Yes,Mike Morris/Mike Ross,,,
MCSE,High Profile X Budega,561 Dudley St,Dorchester,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC - Equity,Yes,1/18/2019,Yes,Mike Ross or Bryan Chavez,,,
MCSE,High Profile X Budega  ,3997 Washington St,Roslindale,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC - Equity,Yes,1/8/2019,Yes,Mike Ross,,,
Medmen Boston LLC,"",120 Brookline Ave,Boston,,Adult use dispensary,Open for Operations,No,4/30/2018,Yes,Jay Youmans,,,
"MSSi Brighton NV, LLC.","",1690 Commonwealth Ave,Brighton,,"",Withdrawn,No,8/14/2018,No,"",,,
"New Dia Fenway, LLC ","",48-62 Brookline Ave,Boston,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC - Equity,No,1/23/2019,Yes,Dennis Quilty/Ross Bradshaw,,,
"NS AJO Holdings, Inc.",NS AJO,50 Clapp St,Dorchester,,Medical,Open for Operations,No,Pre-dated process,Yes,Mike Ross,,,
"Omnicann, Inc.","",24 Porter St,East Boston,,"",Rejected - OEI,No,"",No,Will Luzier/Arish Halani,,,
One Hundred Percent Pure ,Queensbury Pure,112-114 Queensbury St,Boston,,"",Withdrawn,No,5/14/2019,No,Damond Hughes,,,
Patriot Care,Patriot Care,129-133 Columbus St,Brighton,,"",Withdrawn,No,"",No,Larry Dicara,,,
Patriot Care Corp.,"",21 Milk St,Boston,,Medical,Open for Operations,No,Pre-dated process,Yes,Larry DiCara,,,
Patriot Care Corp.,"",21 Milk St,Boston,,Medical/recreational co-located,Open for Operations,No,3/28/2018,Yes,Larry DiCara,,,
"Pure Oasis, LLC ","",430 Blue Hill Ave,Dorchester,,Adult use dispensary,Open for Operations,No,10/23/2018,Yes,Kobie Evans,,,
Raices on the Hill,"",123 Terrace St,Mission Hill,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,9/6/2019,Yes,Jeff Sanchez/Mike Ross,,,
Rooted In LLC.,"",195 Dudley St,Roxbury,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC - Equity,Yes,5/10/19,Yes,Brian Keith/Solmon Chowdry,,,
Sanctuary,"",595 Newbury St,Boston,,"",Withdrawn,No,Withdrawn,No,Sean O'Donovan,,,
Sanctuary Medicinals Inc.,"",253 Tremont St,Boston,,"",Rejected w prejudice - BCB,No,7/17/2018,No,Sean O'Donovan,,,
Silver Therapeutics Inc.,"",717-721 American Legion Hwy,Roslindale,,Medical/recreational co-located,Executed HCA - Pending CCC,No,5/28/2019,Yes,Mike Ross,,,
Sira Naturals,"",470 Washington St,Brighton,,"",Inactive,No,4/8/2019,No,Sean O'Donovan,,,
"Sira Naturals, Inc., ",Ayr,829 Boylston St,Boston,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,8/21/2018,Yes,Sean O'Donovan,,,
"Suns Mass, Inc..","",931 Hyde Park Ave,Hyde Park,,"Marijuana Retailer, Medical Marijuana Treatment Center and Marijuana Product Manufacturer",Withdrawn,No,6/6/2018,No,Mike Morris/Mike Ross,,,
Team Green LLC.,Mojos,1292A Blue Hill Ave,Mattapan,,Adult use dispensary,Withdrawn,No,5/6/2018,No,Jody Mendoza,,,
The Grazin Group LLC,"",533 Washington St,Dorchester,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC - Equity,Yes,5/10/2019,Yes,Mike Ross,,,
The Hempest LLC,"",882 South St,Roslindale,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,7/20/2018,Yes,Mitch Rosenfield,,,
"The Hempest, LLC","",538 Blue Hill Ave,Roxbury,,Adult use dispensary,Inactive,No,7/12/2018,No,Dexter Miller,,,
"Union Twist, Inc..
 ","",259 Cambridge St,Allston,,Adult use dispensary,Approved BCB - Executed HCA - Pending CCC,No,12/5/2018,Yes,Marie St. Fleur,,,
Verdant  Medical Inc..,"",1589 Blue Hill Ave,Mattapan,,Adult use dispensary,Withdrawn,Yes,6/21/2018,No,Tito Jackson,,,
