|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | New Urban Mechanics                      | Equipment                     |                 172 |              34,717 |                100 |           100 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Communications                   | Personnel Services            |             510,181 |             708,665 |            767,254 |     1,028,638 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Communications                   | Contractual Services          |              38,880 |                 295 | #Missing           |             0 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Mayor's Office                                 | Mayor's Communications                   | Current Charges & Obligations |                 382 | #Missing            |              7,038 |         7,038 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Administration                  | Personnel Services            |             592,068 |             654,702 |            704,139 |       745,758 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Administration                  | Contractual Services          |             130,318 |             157,387 |            118,950 |       125,660 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Administration                  | Supplies & Materials          |              41,961 |              81,519 |             50,818 |        55,056 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Administration                  | Current Charges & Obligations | #Missing            |                 912 |              3,200 |         3,200 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Administration                  | Equipment                     |             336,795 |             330,520 |            359,053 |       386,676 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Voter Registration                       | Personnel Services            |             386,259 |             320,187 |            411,058 |       365,577 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Voter Registration                       | Contractual Services          |                 516 |                 304 |                600 |           600 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Voter Registration                       | Supplies & Materials          |              26,775 |              78,618 |             25,500 |        25,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Activities                      | Personnel Services            |           1,916,559 |           2,064,304 |          2,176,966 |     2,445,298 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Activities                      | Contractual Services          |             366,882 |             299,215 |            778,900 |       565,900 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Activities                      | Supplies & Materials          |             212,011 |             185,343 |            926,500 |     1,183,800 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Activities                      | Current Charges & Obligations |             105,623 |             103,795 |            155,500 |       155,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Election Department                            | Election Activities                      | Equipment                     | #Missing            |              12,657 |                  0 |        30,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Listing Board                                  | Annual Listing                           | Personnel Services            |             298,415 |             260,843 |            360,916 |       404,066 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Listing Board                                  | Annual Listing                           | Contractual Services          |              26,943 |              11,585 |             36,550 |        51,897 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Listing Board                                  | Annual Listing                           | Supplies & Materials          |             206,775 |             223,618 |            241,350 |       270,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Intergovernmental Relations                    | IGR                                      | Personnel Services            |             826,923 |             807,261 |            916,422 |     1,045,363 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Intergovernmental Relations                    | IGR                                      | Contractual Services          |             246,676 |             171,102 |            187,299 |       192,299 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Intergovernmental Relations                    | IGR                                      | Supplies & Materials          |              51,361 |               2,329 |              6,200 |         6,200 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Intergovernmental Relations                    | IGR                                      | Current Charges & Obligations |             189,473 |             191,807 |            192,717 |       192,717 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Intergovernmental Relations                    | Grants Administration                    | Personnel Services            |             108,206 |             109,716 |            111,873 |       113,457 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Intergovernmental Relations                    | Grants Administration                    | Contractual Services          |                 234 |                 -25 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Intergovernmental Relations                    | Grants Administration                    | Current Charges & Obligations |                 330 |                 330 |                330 |           330 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Law Operations                           | Personnel Services            |           1,111,480 |             939,653 |          1,011,617 |     1,244,985 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Law Operations                           | Contractual Services          |             495,235 |             246,144 |            361,225 |       369,425 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Law Operations                           | Supplies & Materials          |              14,208 |              10,528 |             13,975 |        16,375 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Law Operations                           | Current Charges & Obligations |              53,253 |              61,167 |             35,635 |        33,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Law Operations                           | Equipment                     |              73,150 | #Missing            | #Missing           |         4,228 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Litigation                               | Personnel Services            |             902,263 |           1,165,592 |          1,231,040 |     1,504,899 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Litigation                               | Contractual Services          |           1,853,713 |           1,900,051 |          1,589,225 |     1,665,800 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Litigation                               | Supplies & Materials          | #Missing            |                  52 |              2,000 |         2,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Litigation                               | Current Charges & Obligations |              79,896 |              28,207 |             39,809 |        37,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Government Services                      | Personnel Services            |           3,048,373 |           3,107,261 |          3,698,055 |     4,682,448 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Government Services                      | Contractual Services          |              38,859 |              20,822 |            169,755 |       150,700 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Government Services                      | Supplies & Materials          |               1,256 |                 728 |              1,000 |         2,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Mayors Cabinet                   | Law Department                                 | Government Services                      | Current Charges & Obligations |              25,163 |              22,750 |             82,867 |        60,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Equity                               | Equity                                   | Personnel Services            | #Missing            | #Missing            |            522,522 |     1,236,554 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Equity                               | Equity                                   | Contractual Services          | #Missing            | #Missing            |              4,460 |       106,620 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Equity                               | Equity                                   | Supplies & Materials          | #Missing            | #Missing            |              1,000 |        10,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Equity                               | Equity                                   | Current Charges & Obligations | #Missing            | #Missing            |              1,500 |        11,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Equity                               | Equity                                   | Equipment                     | #Missing            | #Missing            | #Missing           |         6,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Equity                               | Equity & Inclusion                       | Personnel Services            | #Missing            | #Missing            |          2,320,448 |             0 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Equity                               | Equity & Inclusion                       | Contractual Services          | #Missing            | #Missing            |          1,491,674 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Equity                               | Equity & Inclusion                       | Supplies & Materials          | #Missing            | #Missing            |              3,730 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Equity                               | Equity & Inclusion                       | Current Charges & Obligations | #Missing            | #Missing            |              1,000 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Diversity                            | Diversity                                | Personnel Services            | #Missing            | #Missing            |            254,633 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Diversity                            | Diversity                                | Contractual Services          | #Missing            | #Missing            |             92,160 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Diversity                            | Diversity                                | Supplies & Materials          | #Missing            | #Missing            |              7,874 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Office of Resiliency & Racial Equity           | MORRE                                    | Personnel Services            | #Missing            | #Missing            |            275,287 |       284,316 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
