Applicant Street,Applicant Zip Code,Type of Award,Race and Ethnicity,Primary Language Spoken,Gender Identity,Do you have a mobile housing voucher?,Receive SNAP/EBT Benefits?,How many in household?,Total Monthly Income all sources,Are you currently employed?,Total Amount Awarded,Date Payment Issued,Disposition of case,"If ineligible, why?",longitude,latitude
Aguadilla Street,02118,Rental Arrears,Indigenous,English,Female,No,Yes,1.0,726,No,1181.0,8/26/2022,Approved,,-71.0729,42.3362
Aguadilla St.,02118,Future Stipend; Moving Costs,Black/African American,English,Female,,,1.0,0,No,5083.0,,Approved,,-71.0729,42.3362
Akron St.,02119,Utility Payments,Black/African American,English,Female,No,No,1.0,1747.76,No,212.57,3/1/2022,Approved,,-71.0953,42.3251
Akron Street,02119,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,,,3.0,800,No,6783.4,,Approved,,-71.0953,42.3251
Akron Street,02119,Rental Arrears,Black,English,Female,,,1.0,400,,2400.0,,Approved,,-71.0953,42.3251
Alaska Street,02119,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,0,No,5959.25,,Approved,,-71.0953,42.3251
Alaska Street,02119,Rental Arrears,White,English,Male,No,Yes,1.0,1700,No,1150.0,,Approved,,-71.0953,42.3251
Alaska Street,02119,Rental Arrears,Black/African American,English,Male,,,1.0,750,No,7500.0,,Approved,,-71.0953,42.3251
Albemarle St,02136,Rental Arrears,Black,English,Female,,,3.0,1800,,4000.0,,Approved,,-71.1261,42.254
Albion Street,02119,Rental Arrears,Black/African American,English,Female,No,No,4.0,2576,No,5600.0,8/19/2022,Approved,,-71.0953,42.3251
Alcott St,02134,Future Stipend; Rental Arrears,White,English,Male,No,No,2.0,1000,,3150.0,,Approved,,-71.1329,42.3535
Aldie St,02134,,White,English,Male,No,No,2.0,1875,,6000.0,,Approved,,-71.1329,42.3535
Aldie Street,02134,Future Stipend; Rental Arrears,White,English,Male,No,Yes,1.0,1973,No,6650.0,,Approved,,-71.1329,42.3535
Aldrich Street,02131,Moving Costs,Latino,Spanish,Female,Yes,No,3.0,3348,Yes,7800.0,,Approved,,-71.1295,42.2836
Alexander Street,02125,Utility Payments,Black;Latino,English,Female,No,Yes,1.0,2900,Yes,2000.0,5/20/2022,Approved,,-71.0745,42.2973
Alexander Street,02125,Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,3.0,1946.06,Yes,7600.0,4/15/2022,Approved,,-71.0745,42.2973
Alexander St,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,1079,No,8409.0,,Approved,,-71.0745,42.2973
alexander st,02125,Rental Arrears,Black,English,Male,Yes,Yes,4.0,1198,No,303.0,6/30/2022,Approved,,-71.0745,42.2973
Allston St,02134,Rental Arrears,Declined to answer,Portguese,Female,No,Yes,4.0,280,,4000.0,,Approved,,-71.1329,42.3535
Allston Street,02135,Future Stipend; Rental Arrears,Black/African American,English,Genderqueer Gender non binary,,,6.0,1500,Yes,2760.0,6/4/2021,Approved,,-71.1566,42.3478
Allston Street,02135,Rental Arrears,Black,English,Female,,,1.0,15000,,3800.0,,Approved,,-71.1566,42.3478
Almont st,02126,Future Stipend; Rental Arrears; Utility Payments,Black/African American,Haitian Creole,Female,No,Yes,2.0,900,No,4694.84,,Approved,,-71.0939,42.2739
Almont St,02126,Future Stipend; Rental Arrears,Black/African American,English,Female,,,4.0,0,No,15000.0,,Approved,,-71.0939,42.2739
almont st,02126,Future Stipend; Rental Arrears; Utility Payments,Black,English,Female,No,Yes,4.0,3220,No,8000.0,,Approved,,-71.0939,42.2739
Almont St,02126,Rental Arrears,Black/African American,English,Female,,,1.0,0,Unemployment application was denied,14000.0,,Approved,,-71.0939,42.2739
almont street,02126,Future Stipend; Rental Arrears,Black,English,Male,No,No,1.0,0,No,7800.0,,Approved,,-71.0939,42.2739
Alpha rd,02124,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,No,3.0,3800,Yes,7500.0,3/11/2022,Approved,,-71.0717,42.2918
Alpheus Rd,02131,Rental Arrears,Black/African American,,Female,,,3.0,1267,,3541.0,,Approved,,-71.1295,42.2836
Alpheus Rd,02131,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,3.0,2200,,6000.0,,Approved,,-71.1295,42.2836
Alpine Place,02119,Rental Arrears; Utility Payments,Black/African American,English,Female,,,1.0,1176,No,12620.0,,Approved,,-71.0953,42.3251
alpine st,02119,Moving Costs,Black/African American,English,Female,Yes,Yes,2.0,840,Yes,2669.0,3/4/2022,Approved,,-71.0953,42.3251
Althea ,02122,Future Stipend; Rental Arrears,White,English,Male,No,No,1.0,0,No,10000.0,,Approved,,-71.0745,42.2973
Althea St,02122,Rental Arrears,White,English,Female,No,Yes,3.0,0,,6000.0,,Approved,,-71.0745,42.2973
Althea St.,02122,Rental Arrears,White,English,Female,No,No,3.0,5123.34,Yes,4500.0,,Approved,,-71.0745,42.2973
Althea st,02122,Rental Arrears; Utility Payments,Black/African American,English,Female,No,No,2.0,5448.06,Yes,5712.13,10/12/2021,Approved,,-71.0745,42.2973
alvan terr,02125,Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,2.0,841,No,2949.0,8/26/2022,Approved,,-71.0745,42.2973
American Legion,02124,Future Stipend; Rental Arrears,Black/African American,Haitian Creole,Female,No,Yes,4.0,2200,Yes,16200.0,4/12/2022,Approved,,-71.0717,42.2918
American Legion,02124,Rental Arrears,Black/African American,English,Male,,,1.0,0,No,8774.0,,Approved,,-71.0717,42.2918
American Legion,02124,Rental Arrears,Black/African American,English,Female,Yes,No,1.0,900,Yes,1584.0,12/28/2021,Approved,,-71.0717,42.2918
American Legion,02124,Rental Arrears,Black/African American,English,Female,Yes,Yes,1.0,900,Yes,1947.88,5/13/2022,Approved,,-71.0717,42.2918
American Legion,02124,Future Stipend; Rental Arrears,Black/African American; White,English,Male,,,1.0,16616,No,7450.0,,Approved,,-71.0717,42.2918
American Legion,02124,,Black/African American; White,English,Male,No,No,1.0,7080,,4000.0,,Approved,,-71.0717,42.2918
American Legion,02124,Rental Arrears,Black/African American;Black,English,Female,No,Yes,2.0,2751.43,Yes,1944.0,5/27/2022,Approved,,-71.0717,42.2918
american legion,02131,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,0,No,5250.0,,Approved,,-71.1295,42.2836
American Legion,02131,Rental Arrears,Black/African American,English,Female,No,No,2.0,3000,Yes,8158.0,,Approved,,-71.1295,42.2836
American Legion,02131,Rental Arrears,Black/African American,English,Male,,,1.0,1400,Yes,15000.0,7/5/2021,Approved,,-71.1295,42.2836
Amory Ave,02119,Rental Arrears,Black,English,Male,,,,783,,3648.0,,Approved,,-71.0953,42.3251
Amory Avenue,02119,Rental Arrears,Black/African American,English,Female,No,Yes,2.0,0,Yes,4159.82,,Approved,,-71.0953,42.3251
Amory Avenue,02118,Rental Arrears,Black,Spanish,Female,Yes,Yes,4.0,589,No,3745.0,9/30/2022,Approved,,-71.0729,42.3362
Amory Se,02119,Rental Arrears,Black,English,Female,,,1.0,10000,,1720.0,,Approved,,-71.0953,42.3251
Amory ave,02119,Rental Arrears,Latino,English,Male,No,No,1.0,0,No,4990.0,,Approved,,-71.0953,42.3251
Amory Ave,02119,Rental Arrears,Latino,Spanish,Female,No,No,1.0,2800,No,1167.0,,Approved,,-71.0953,42.3251
Amory Ave,02119,,Black/African American,English,Female,No,No,3.0,3295,,4207.0,,Approved,,-71.0953,42.3251
Amory Ave,02119,Rental Arrears,Black/African American,English,Female,No,No,2.0,4210,,4177.5,,Approved,,-71.0953,42.3251
Amory Ave,02119,Rental Arrears,Black/African American,English,Female,No,Yes,2.0,2000,,5748.0,,Approved,,-71.0953,42.3251
Amory Ave,02119,Rental Arrears,Black/African American; Latino,English,Female,No,Yes,3.0,5900,,5667.25,,Approved,,-71.0953,42.3251
Amory Street,02130,Rental Arrears; Utility Payments,Latino,Spanish,Female,,,4.0,0,,15000.0,,Approved,,-71.1115,42.3126
Amory St,02130,Rental Arrears,Latino,,Male,,,2.0,4000,,4000.0,,Approved,,-71.1115,42.3126
Angell Street,02124,Utility Payments,Black/African American,English,Female,No,No,4.0,3216,Yes,230.87,7/29/2022,Approved,,-71.0717,42.2918
Annabel street,02125,Future Stipend; Rental Arrears; Utility Payments,Multi-Racial,Spanish,Female,No,Yes,4.0,2400,No,8835.36,,Approved,,-71.0745,42.2973
Antrim St,02128,Rental Arrears,Latino,Spanish,Female,No,No,2.0,700,,4000.0,,Approved,,-71.0257,42.3642
Antrim St,02128,Rental Arrears,Latino,Spanish,Male,No,No,3.0,2400,,6000.0,,Approved,,-71.0257,42.3642
Antrim St,02128,Rental Arrears,White,English,Not reported,,,4.0,4766,,4000.0,,Approved,,-71.0257,42.3642
Antwerp Street,02135,Future Stipend; Rental Arrears,Black,Arabic,Female,No,Yes,4.0,1200,Yes,10489.5,1/7/2022,Approved,,-71.1566,42.3478
Appian Pl,02128,Future Stipend; Rental Arrears,Multi-Racial,Spanish,Female,,,1.0,1192,,6001.0,,Approved,,-71.0257,42.3642
Appleton Street,02116,Future Stipend; Rental Arrears,White,English,Male,No,No,1.0,4000,Yes,17000.0,2/11/2022,Approved,,-71.0768,42.3492
Arborcrest Terr,02126,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,1.0,0,No,17000.0,,Approved,,-71.0939,42.2739
Arborcrest Terr,02126,Rental Arrears,Latino,English,Female,No,No,1.0,0,No,17000.0,,Approved,,-71.0939,42.2739
Arborway ,02130,Future Stipend; Rental Arrears,Latino,Spanish,Female,Yes,No,1.0,1800,Yes,2535.0,,Approved,,-71.1115,42.3126
Arcadia Street,02122,Future Stipend; Rental Arrears,Multi-Racial,English,Female,No,Yes,2.0,1834,Yes,10205.0,,Approved,,-71.0745,42.2973
Arcadia St,02122,Future Stipend; Rental Arrears,Multi-Racial,English,Male,No,Yes,1.0,436.49,Yes,3275.0,,Approved,,-71.0745,42.2973
Arcadia St,02122,Rental Arrears; Utility Payments,Black/African American,English,Male,,,1.0,934,No,6721.0,,Approved,,-71.0745,42.2973
Arcadia St,02122,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,,,2.0,2468,Yes,12285.98,6/30/2021,Approved,,-71.0745,42.2973
Arcadia St,02122,Future Stipend; Rental Arrears,Black/African American; White,English,Female,,,2.0,5000,Yes,7700.96,,Approved,,-71.0745,42.2973
Arcadia street,02122,Future Stipend; Rental Arrears,Black/African American,English,Female,Yes,Yes,4.0,1600,Yes,2693.0,,Approved,,-71.0745,42.2973
Arcadia Street,02122,Rental Arrears; Utility Payments,Black/African American,English,Female,,,4.0,0,No,8520.16,7/7/2021,Approved,,-71.0745,42.2973
Argyle Street,02124,Rental Arrears; Utility Payments,Black/African American,Haitian Creole,Female,,,5.0,1948,No,7454.0,,Approved,,-71.0717,42.2918
Argyle Terrace,02124,Future Stipend,Latino,English,Male,,,1.0,2272,No,1800.0,10/8/2021,Approved,,-71.0717,42.2918
Argyle St,02124,Rental Arrears,Black/African American,English,Female,No,Yes,5.0,3000,,6000.0,,Approved,,-71.0717,42.2918
Arlington st,02136,Rental Arrears,Black/African American,English,Female,No,Yes,2.0,0,No,10000.0,4/29/2022,Approved,,-71.1261,42.254
Armandine St,02124,,Black/African American,English,Female,No,No,5.0,6232,,4000.0,,Approved,,-71.0717,42.2918
Armandine Street,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,5.0,4684.8,No,4771.0,12/28/2021,Approved,,-71.0717,42.2918
Armandine Street,02124,Rental Arrears; Utility Payments,Black/African American,English,Female,,,5.0,5354,Yes,12229.0,,Approved,,-71.0717,42.2918
Armandine Street,02124,Utility Payments,Black/African American,English,Female,,,3.0,2564,No,1130.57,,Approved,,-71.0717,42.2918
Armington St,02134,Rental Arrears,White,English,Female,,,5.0,800,,4000.0,,Approved,,-71.1329,42.3535
Armington St,02134,Future Stipend; Rental Arrears,Latino,English,Male,No,Yes,7.0,0,,3500.0,,Approved,,-71.1329,42.3535
Armington St,02134,Future Stipend; Rental Arrears,Latino,English,Trans male,,,1.0,800,Yes,5250.0,,Approved,,-71.1329,42.3535
Armory Avenue,02119,Rental Arrears; Utility Payments,Latino,Spanish,Female,Yes,No,1.0,3000,No,4409.41,,Approved,,-71.0953,42.3251
Ashley ,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,,,1.0,#ERROR!,,15000.0,,Approved,,-71.0257,42.3642
Ashley St,02128,Rental Arrears,Latino,English,Male,,,4.0,600,,4000.0,,Approved,,-71.0257,42.3642
Ashley ST,02128,Rental Arrears,Latino,Portguese,Female,No,Yes,4.0,1650,Yes,16800.0,,Approved,,-71.0257,42.3642
Ashley Street,02128,Rental Arrears,Latino,Portuguese,Female,,,3.0,#ERROR!,,4000.0,,Approved,,-71.0257,42.3642
Ashmont St,02124,Future Stipend; Rental Arrears,Black/African American,Cape Verdean Creole,Female,,,7.0,704,,7000.0,,Approved,,-71.0717,42.2918
Ashmont St,02115,Moving Costs,Black/African American,English,Female,Yes,Yes,2.0,1313,No,5000.0,,Approved,,-71.0922,42.3427
Ashmont St,02124,Future Stipend; Rental Arrears,Asian,,Male,No,No,3.0,980,,4200.0,,Approved,,-71.0717,42.2918
Ashmont Street,02124,Future Stipend; Rental Arrears,Asian,,Male,,,3.0,980,Yes,7200.0,,Approved,,-71.0717,42.2918
Ashmont St,02124,Future Stipend; Rental Arrears,Black/African American,Haitian Creole,Female,No,No,3.0,761,,4000.0,,Approved,,-71.0717,42.2918
Ashmont Street,02124,Rental Arrears,Latino,Spanish,Female,Yes,Yes,4.0,0,No,2166.0,5/6/2022,Approved,,-71.0717,42.2918
Ashmont Street,02124,Rental Arrears,Latino,,Female,,,2.0,500,,4000.0,,Approved,,-71.0717,42.2918
Ashmont St,02124,,White,,Male,No,No,1.0,1868,,4000.0,,Approved,,-71.0717,42.2918
Ashmont St,02124,Rental Arrears,Multi-Racial,Vietnamese,Male,No,No,2.0,2000,,6000.0,,Approved,,-71.0717,42.2918
Ashmont St.,02124,Moving Costs,Black/African American,English,Male,No,No,1.0,1193,No,2200.0,6/17/2022,Approved,,-71.0717,42.2918
Ashmont Street,02124,Rental Arrears,Black/African American,Cape Verdean Creole,Female,No,No,3.0,3020,Yes,6600.0,12/28/2021,Approved,,-71.0717,42.2918
Ashmont St,02122,,Black/African American,English,Female,No,Yes,6.0,2600,,6000.0,,Approved,,-71.0745,42.2973
Ashmont St,02122,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,Yes,2.0,1590,,5600.0,,Approved,,-71.0745,42.2973
ashmont street,02122,Rental Arrears,Black/African American,English,Male,No,Yes,1.0,0,No,2900.0,9/23/2022,Approved,,-71.0745,42.2973
ashmont street,02122,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Male,No,Yes,1.0,450,Yes,7419.74,,Approved,,-71.0745,42.2973
Aspenwall Road,02124,Rental Arrears,Black/African American,English,Male,,,1.0,0,No,13200.0,,Approved,,-71.0717,42.2918
Astoria Street,02126,Future Stipend; Rental Arrears,Black/African American;Indigenous,English,Female,Yes,Yes,4.0,752,No,3388.0,,Approved,,-71.0939,42.2739
Astoria ,02126,Rental Arrears,Black,English,Female,No,Yes,1.0,0,No,10000.0,9/30/2022,Approved,,-71.0939,42.2739
Astoria St,02126,Rental Arrears,Black/African American,English,Male,,,1.0,1124,,3500.0,,Approved,,-71.0939,42.2739
Astoria Street,02126,Rental Arrears,Black/African American,English,Male,No,Yes,1.0,0,No,9020.0,5/13/2022,Approved,,-71.0939,42.2739
Astoria Street,02126,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,1.0,1006,Yes,11900.0,,Approved,,-71.0939,42.2739
Astoria ,02126,Rental Arrears,Latino,English,Male,No,No,1.0,0,No,15000.0,10/15/2021,Approved,,-71.0939,42.2739
Astoria street,02126,Rental Arrears,Latino,English,Female,No,Yes,3.0,600,No,15000.0,,Approved,,-71.0939,42.2739
Astoria Street,02126,Rental Arrears; Utility Payments,Black/African American; White,Haitian Creole,Male,,,3.0,1880,Yes,7800.0,,Approved,,-71.0939,42.2739
Athens St,02127,Rental Arrears,White,English,Male,No,Yes,3.0,1200,,3600.0,,Approved,,-71.0375,42.3347
Athens Street,02127,Future Stipend; Utility Payments,White,English,Male,,,3.0,467.39,,6900.0,,Approved,,-71.0375,42.3347
Atlantic Ave,02110,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,,,1.0,2800,Yes,6355.34,,Approved,,-71.0514,42.3576
Atlantic Ave,02110,Rental Arrears,White,,Male,,,1.0,0,,4000.0,,Approved,,-71.0514,42.3576
Auckland St,02125,Future Stipend; Rental Arrears,White,English,Male,,,1.0,0,No,4000.0,,Approved,,-71.0745,42.2973
Auckland Street,02125,Future Stipend; Rental Arrears,Multi-Racial,English,Female,,,4.0,0,Unemployment application was accepted,2100.0,,Approved,,-71.0745,42.2973
Auna Dr.,02121,Rental Arrears,Black,English,Male,,,4.0,3400,,4000.0,,Approved,,-71.0745,42.2973
Austin street,02136,Utility Payments,Latino,English,Female,No,No,4.0,3866.28,Yes,616.17,,Approved,,-71.1261,42.254
Austin St,02136,Rental Arrears,White,English,Female,Yes,Yes,4.0,0,Yes,1426.0,,Approved,,-71.1261,42.254
Austin Street,02136,Utility Payments,Black,Haitian Creole,Male,No,No,1.0,0,No,2000.0,,Approved,,-71.1261,42.254
long  Ave,02134,Rental Arrears,Black,English,Male,No,No,1.0,2630.42,Yes,3911.0,,Approved,,-71.1329,42.3535
Mercier Ave,02124,Future Stipend; Rental Arrears,White,English,Male,,,3.0,0,Yes,4900.0,,Approved,,-71.0717,42.2918
Averton Street,02131,Rental Arrears,Black,American Sign Language (ASL) as a Deaf person but will accept in English Print to read,Female,,,1.0,0,,4000.0,,Approved,,-71.1295,42.2836
Averton Street,02131,Rental Arrears,Black/African American;White;Multi-Racial,Other,Female,No,No,1.0,3133.13,Yes,17000.0,3/15/2022,Approved,,-71.1295,42.2836
Avila RD,02136,Utility Payments,Black/African American,Haitian Creole,Female,Yes,Yes,4.0,800,No,2000.0,,Approved,,-71.1261,42.254
 Blue,02131,Rental Arrears,Black/African American; Latino,English,Female,No,Yes,2.0,1829,,6000.0,,Approved,,-71.1295,42.2836
Babcock Street,02215,Future Stipend; Rental Arrears,Latino,English,Female,No,No,1.0,0,No,10097.36,,Approved,,-71.1027,42.3471
Babson st,02126,Utility Payments,Latino,Spanish,Female,Yes,Yes,4.0,0,No,2000.0,,Approved,,-71.0939,42.2739
Bailey St,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,Yes,Yes,2.0,4514,Yes,5968.0,,Approved,,-71.0717,42.2918
Bailey Street,02124,Rental Arrears,Black,English,Female,,,1.0,2632,,3750.0,,Approved,,-71.0717,42.2918
Bailey Street,02124,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,No,Yes,3.0,1136.69,No,5718.04,,Approved,,-71.0717,42.2918
Bailey Street,02124,Future Stipend,White,English,Female,No,Yes,3.0,2563,No,3860.0,,Approved,,-71.0717,42.2918
Bailey St,02124,Rental Arrears,Black/African American,English,Female,,,2.0,824,No,2300.0,,Approved,,-71.0717,42.2918
Bailey Street,02124,Utility Payments,Black/African American,English,Female,Yes,Yes,4.0,349.4,No,1141.43,,Approved,,-71.0717,42.2918
Bailey St,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,,,4.0,2427,,8250.0,,Approved,,-71.0717,42.2918
Bailey Street,02124,Rental Arrears,Black/African American,English,Female,,,3.0,2500,,3333.0,,Approved,,-71.0717,42.2918
Bailey St.,02124,Rental Arrears,Black,,Female,,,1.0,1200,,3750.0,,Approved,,-71.0717,42.2918
Baird St,02124,Rental Arrears,Latino,Spanish,Female,No,Yes,3.0,556,,6000.0,,Approved,,-71.0717,42.2918
Baker St,02132,Future Stipend; Rental Arrears,Multi-Racial,English,Male,,,6.0,2468,Yes,16200.0,,Approved,,-71.1589,42.2787
baker st,02132,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,No,Yes,4.0,0,No,8674.74,4/29/2022,Approved,,-71.1589,42.2787
Baker st,02132,Rental Arrears,Latino,Spanish,Male,No,No,1.0,3431.66,Yes,10000.0,8/12/2022,Approved,,-71.1589,42.2787
Bakers Alley,02113,Future Stipend; Rental Arrears,White,English,Female,No,No,1.0,2068,,4000.0,,Approved,,-71.056,42.3657
Bakers Alley,02113,,White,English,Female,No,No,3.0,3800,,4000.0,,Approved,,-71.056,42.3657
Bakers Ally,02113,Rental Arrears,White,English,Male,,,1.0,4000,Yes,5199.98,,Approved,,-71.056,42.3657
Bakersfield st,02125,Rental Arrears,Black/African American,English,Female,,,2.0,2734,Yes,7620.0,,Approved,,-71.0745,42.2973
Bakersfield St.,02125,Rental Arrears,White,English,Male,,,3.0,7536,No,6103.0,,Approved,,-71.0745,42.2973
Bakersfield street,02125,Rental Arrears,Black/African American,English,Male,No,No,3.0,900,Yes,2760.0,8/12/2022,Approved,,-71.0745,42.2973
