license_num,historicallicensenum,status,license_type,issued,expires,business_name,dba_name,comments,location_comments,opening,closing,patronsout,capacity,applicant,manager,day_phone,evening_phone,address,city,state,Neighborhood,gpsx,gpsy
LB-476651,,Active,Retail Malt Wine,2022-06-15,2022-12-31,Scire Fruit,Going Bananas Market,No singles,"Premise consist of a grocery store consisting of sixteen hundred (1,600) square feet of space on the first floor and one (1,000) square feet of basement space located at 64 Salem Street unit C1, Boston, MA. ",,9:00 PM,,0.0," Scire Fruit, INC", Frank Scire,(781)636-8158,,64-   Salem ST,Boston,MA,Downtown_North_End,776128.709167265,2957760.70373709
LB-471198,,Active,CV7ALN - Neighborhood Restricted,2022-05-30,2022-12-31,Bella Haven Restaurant Group,The Haven at the Brewery,,,,1:00AM,1:30 AM,174.0, Bella Haven Restaurant Group, Jason Waddleton,(617)792-9092,,284-  Amory ST,Jamaica Plain,MA,Jamaica_Plain,763321.291676366,2939914.80902498
LB-468134,,Active,Clb. All Alc. Airport,2022-05-20,2022-12-31,Airist Boston Co Inc,Airist Boston,,The Virgin Atlantic Club is located in Terminal E within the Logan Airport.  There are (2) entrances and exits within approximately 2956 SF Club Lounge. There is one level to the club.  There is one bar on the premise. Alcohol will be stored within a Locked Cabinet in the storeroom.  Seating Capacit,,2:00 AM,2:30 AM,80.0, Airist Boston Co Inc, Ohkwan Kwon,(617)866-3561,,500     Logan Airport Terminal E  ,East Boston,MA,East_Boston,0.0,0.0
LB-464488,,Active,CV7 All Alc. Airp.,2022-05-16,2022-12-31,"SODEXO OPERATIONS, LLC",Lufthansa Business Lounge,,"6,796SF business lounge located within Terminal E of Logan International Airport providing food and beverages to airline passengers. Premise is one-story with a kitchen and a dining area. The seating count is 132 and the legal occupancy is 347. There are 4 entrances/exits to the premises.  ",,10:00 PM,10:30 PM,347.0," Sodexo Operations, LLC", Kendra Lombard,(301)587-4504,,500     Logan Airport Terminal E  ,East Boston,MA,East_Boston,0.0,0.0
LB-471191,,Active,Retail Malt Wine,2022-05-16,2022-12-31,"Bay Sweets, LLC",Bay Sweets Market,,"Premise is 11,364SF total: 5,682SF in one main room on ground floor, main entrance/exit on Spring Street. Additional exit in rear. 5,682SF in basement for prep kitchen, storage and offices. ",,6:00 PM,6:30 PM,0.0," Bay Sweets, LLC", Victor Leon,(617)327-3737,,120-   Spring ST,West Roxbury,MA,West_Roxbury,746719.324195146,2925961.6122089
LB-464464,,Active,Retail Malt Wine,2022-04-28,2022-12-31,Virpa Corp,Square Bites,,"Premises is a 1 story preexisting structure containing approximately 3,335SF; 1,528SF in the store front and 1,807SF in the basement used for dry storage.  ",,11:00 PM,,0.0, Virpa Corp, Disha Patel,(781)526-4126,,38-  Maverick SQ,East Boston,MA,East_Boston,780671.354818776,2960200.23502478
LB-457700,,Active,CV7 All Alc.,2022-04-01,2022-12-31,Mello Vibez Restaurant LLC,,,"Dining room (18 Seats), Bar (6 seats), bathroom, kitchen and office.  Total seating capacity 26, Total square footage is 1,000SF.  Hours of operation:Mon- Fri 11am- 9pm, Sat 5pm-11pm, Sun 10am- 6pm",,11:00 PM,11:30 PM,26.0, MELLO VIBEZ RESTAURANT LLC, Melissa Dell-Lamey,(774)712-3039,,473-   River ST,Mattapan,MA,Mattapan,766323.999989405,2923040.00001417
LB-460883,,Active,CV7 All Alc.,2022-03-31,2022-12-31,"Food Fiesta Group, LLC",Casa Bonita Mexican Grill,42 inside 24 outside,,,2:00 AM,2:30 AM,66.0," Food Fiesta Group, LLC", Felipe Duran,(857)654-7588,,1033-   Massachusetts AVE,Roxbury,MA,South_End,773082.420443699,2944516.32022618
LB-465577,,Active,CV7 Malt Wine Liq. Restrict.,2022-03-30,2022-12-31,Gelas Corp,Las Delicias Colombianas 2,,"Premise contains one floor approximately 850sqft. One kitchen, seating capacity for 45; 2 bathrooms, one entrance/exit.",,11:00 PM,11:30 PM,45.0, Gelas Corp, Miguel Angel Gallego,(857)928-4667,(857)342-7976,1231-  River ST,Hyde Park,MA,Hyde_Park,758215.928909853,2918586.32279404
LB-465562,,Active,Retail Malt Wine,2022-03-28,2022-12-31,"A&R Variety Store, Inc.",Roslindale Variety Store,,"In one room on first floor, with entrance in front and emergency exit in rear, consisting of 1000SF. Storage in basement.",,11:00 PM,,0.0," A&R Variety Store, Inc.", Anderson Diaz,(617)323-2442,,4254-   Washington ST,Boston,MA,Roslindale,756556.074876888,2929245.64924095
LB-461216,,Active,Retail All Alc.,2022-03-21,2022-12-31,Massachusetts Fine Wine & Spirits LLC,Total Wine Spirits Beer & More,,"The Leased Premises will be approximately 23,400 square feet of retail space on the first floor with 1 main entrance and 4 additional exists, storage, office, break room, restrooms, walk-in humidor, and wine education room. Closing hours are 10 p.m. (Mon.-Sat.), 8 p.m. (Sun.).",,10:00 PM,,0.0," Massachusetts Fine Wines & Spirits, LLC", Glenn Alan Straughn,,,8C-  Allstate RD,Dorchester,MA,Dorchester,774771.311887138,2944547.46409917
LB-467591,,Active,BYOB Bring Your Own Bottle,2022-02-22,2022-12-31,Lenox Sophia LLC,Lenox Sophia,TUESDAY SUNDAY 5 00 PM 10 ONLY,"1st floor of a 3 story mixed-sue commercial and residential building. Restaurant consists of 750SF open floor plan with kitchen and dining room (seating capacity of 20). Hours of operation Tuesday-Sunday 5:00PM-10:00PM, Sunday brunch 10:00AM-1:00PM. ",5:00 PM,10:00 PM,10:30 PM,20.0, Lenox Sophia LLC, Shi Li Mei,(617)308-3539,,87-  A ST,South Boston,MA,South_Boston,776588.272062972,2950130.86813541
LB-464491,,Active,CV7 All Alc.,2022-02-10,2022-12-31,"AHF Speedway Holdings, LLC",Charles River Speedway,CHARLES RIVER SPEEDWAY DEVELOPMENT LICENSE NOT TRANSFERABLE EXCEPT TO SAME LOCATION ONLY,,,1:00 AM,1:30AM,106.0," AHF Speedway Holdings, LLC", Markos Doyle,(978)239-7244,,1420-1440   Soldiers Field RD,Brighton,MA,Brighton,752063.281992122,2957112.68410991
LB-462639,,Active,Retail All Alc.,2022-02-01,2022-12-31,"Love Child, LLC",Love Child,,"On one room on ground floor, main entrance/exit on West Broadway. Storage in basement.  ",,7:00 PM,7:30 PM,0.0," Love Child, LLC", Crystal Mills,(617)480-5512,,364- W Broadway ,South Boston,MA,South_Boston,778046.049500793,2948568.54236249
LB-459546,,Active,Retail Malt Wine,2022-01-12,2022-12-31,New SS Group Inc.,S. S. Market,Convenience Store hours 7AM 11PM Alcohol sales can only be sold 8AM daily except Sunday alcohol sale restricted from noon Condition No nips or singles,"Premises is a convenience store on one floor.  Total Square Footage 1,250. ",,11:00 PM,,0.0," New S.S. Group, Inc", Sumon Kumar Nath,(617)785-8007,,1283-   River ST,Boston,MA,Hyde_Park,757818.331284006,2918504.39663581
LB-460882,,Active,Retail Malt Wine,2022-01-06,2022-12-31,Anthony's Market Inc.,Anthony's Market,,,,11:00 PM,,0.0, Anthony's Market Inc., Elis Fernandez,(617)561-9322,,407-   Meridian ST,East Boston,MA,East_Boston,780722.000002816,2963979.9999883
LB-451072,,Active,CV7 Malt Wine Restrict.,2021-12-20,2022-12-31,Montecristo Mexican Grill LLC,,,,,12:00 AM,12:30 AM,18.0, Montecristo Mexican Grill LLC, Endis Elias Ventura,(617)232-2228,,748A     Huntington AVE,Boston,MA,Back_Bay,762836.342578158,2946850.00438835
LB-459555,,Active,CV7 All Alc. Airp.,2021-12-03,2022-12-31,"TASTES ON THE FLY LOGAN, LLC",Stephanie's,,"A 3,565 square foot restaurant on one floor in Terminal E at Logan Airport with 4 rooms including the kitchen. Seating Capacity 130.  ",,2:00 AM,2:30 AM,134.0," Tastes on the Fly Logan, LLC", Antonio Alicea,(781)521-9643,,"      Logan Airport, Terminal E  ",East Boston,MA,East_Boston,0.0,0.0
LB-454336,,Active,CV7 Malt Wine,2021-11-30,2022-12-31,"JIMERSON ENTERPRISES, LLC",Larry J's BBQ Cafe,Capacity breakdown 48 seats outside 10 inside,,,12:00 AM,12:30 AM,58.0, Jimerson Enterprises LLC, LARRY JIMERSON,(617)348-9800,,600     D ST,South Boston,MA,neighborhood doesn't match,,
LB-458000,,Active,Retail Malt Wine,2021-11-29,2022-12-31,Mattapan Gas Station Inc,Petro Plus Super Station,No nips singles,"1 story preexisting structure containing approximately 2,340SF with 1 room for retail and 2 rooms for dry storage. ",,11:00PM,,0.0, Mattapan Gas Station Inc., Kamini Y. Patel,(617)296-6100,,682-   Cummins HWY,Mattapan,MA,Mattapan,763268.999986559,2924180.00001524
LB-445633,,Active,CV7 All Alc.,2021-11-29,2022-12-31,"CT Eatery, LLC.",Tradesman Charlestown,,,,1:00 AM,1:30 AM,240.0," CT Eatery, LLC.", MEVZAD DURAKOVIC,(617)281-7987,,50-  Hood Park Dr,Charlestown,MA,Charlestown,771732.48720047,2963863.37541843
LB-454368,,Active,CV7 All Alc.,2021-11-18,2022-12-31,"BPM Events, LLC",Boston Public Market,Board ABCC approved an approval management agreement between BPM Events LLC L’Aquila,,,11:00 PM,11:30 PM,979.0," BPM Events, LLC", Philip Frattaroli,(617)973-4909,,100-  Hanover ST,Boston,MA,Beacon_Hill,775760.784734204,2957310.54375809
LB-445209,,Active,CV7 All Alc.,2021-11-16,2021-12-31,Savin Crossing LLC.,The Nightly,," Premises includes basement and second floor connected by rear staircase that also acts as an emergency means of egress.  Invitees enter front staircase/elevator. Basement includes 9 rooms (dining room/bar, k",,11:00 PM,11:30 PM,0.0, Savin Crossing LLC, John C. McDonough,(617)519-6465,,102-110  Savin Hill AVE,Dorchester,MA,Dorchester,776834.279794461,2939007.90521308
LB-448032,,Active,BYOB Bring Your Own Bottle,2021-11-02,2022-12-31,"SS Investments East, Inc.",Dirty Water Dough Co.,,"IN ONE ROOM ON THE FIRST FLOOR, KITCHEN & STORAGE IN THE REAR.",11:00 AM,11:00 PM,11:30 PM,15.0," SS Investments East, Inc.",Samuel Sokol,(617)567-6767,,20-22   Maverick ST,East Boston,MA,East_Boston,779905.011906058,2960796.32542534
LB-447984,,Active,CV7 Malt Wine Liq.,2021-10-28,2021-12-31,SOBOBISTRO LLC,CIBO BOSTON,,"Restaurant on two floors (2,161 SF).  First floor to be occupied by a bar with seating, table seating (capacity 40), an open kitchen and food prep area and 2 bathrooms.  Basement to be occupied by refrigerators for food and beer storage, other storage, office, bathroom for staff, mechanical and prep",,1:00 AM,,0.0, SOBOBISTRO LLC, MICHAEL NORTON,(617)803-4712,,69-   L ST,South Boston,MA,South_Boston,781833.000003859,2947530.00000499
LB-457684,,Active,Retail All Alc.,2021-10-20,2022-12-31,"Black Bottle Wines, LLC.",Corossol Wines,,"located in one room on first floor consisting of 1,135SF, with storage, office and one restroom. ",,10:00 PM,,0.0," Black Bottle Wines, LLC.", David Skerry,(978)500-8808,,899-  Congress ST,Boston,MA,neighborhood doesn't match,781172.426491027,2952100.28629045
LB-420671,,Active,Clb. All Alc. Airport,2021-09-28,2022-12-31,"DELTA AIR LINES, INC.",Delta Sky Club,,"Logan Airport, Terminal A: in 15 rooms located on the third level of the main building above security checkpoint, containing bar, food and beverage areas, restrooms, showers, conference room, office, kitchen prep area and storage area. Seating capacity 405. Total capacity 610.",,2:00 AM,2:30 AM,610.0," Delta Air Lines, Inc.", Rebecca Bassila,,,      Logan Airport Terminal A  ,East Boston,MA,East_Boston,0.0,0.0
LB-451415,,Active,CV7 All Alc.,2021-07-30,2022-12-31,Sugar Bowl Cafe LLC,The Sugar Bowl,,"premise is a 2-room café, consisting of 1,223 square feet.  The dining area is one room with seating for 19 (6 tables).  Serving breakfast and lunch (brunch on weekends) then close midday and reopen again in the evening. Hours of operation are 6:00am-12:00am. ",,12:00 AM,12:30 AM,19.0, Sugar Bowl Cafe LLC, Kathleen Baker,(617)265-9000,,857     Dorchester AVE,Dorchester,MA,Dorchester,775980.999998406,2942480.00000028
LB-454574,,Active,Retail Malt Wine,2021-07-23,2022-12-31,Foodies South Boston LLC,Foodies Market,No singles kegs,"16,000sf market including 2 floors; market on ground level, main entrance/exit on West Broadway; basement storage and offices.",,9:00 PM,,0.0, Foodies South Boston LLC, Victor G. Leon,(617)269-4700,,230- W Broadway ,South Boston,MA,South_Boston,777319.698911652,2949180.99162252
LB-451073,,Active,Retail Malt Wine,2021-07-23,2022-12-31,Ashish Corp.,Orient Heights Food Market,,"One story preexisting structure with basement storage/mechanical space.  First floor includes one room for the store, a private dry storage area and employee bathroom 1,734 Square Footage. ",,11:00 PM,,0.0, Ashish Corp., Kamini Y. Patel,(617)569-1388,,1016-  Bennington ST,East Boston,MA,East_Boston,789548.24459953,2966467.83338176
LB-445759,,Active,CV7ALN - Neighborhood Restricted,2021-07-21,2022-12-31,Grove Hall Food Corp.,Grove Hall Convenience Market,,,,12:00 AM,12:30 AM,16.0, Grove Hall Food Corp., Edward Guerrero,(617)708-0775,,479-   Blue Hill AVE,Dorchester,MA,Dorchester,768869.547799781,2937826.36549994
LB-447986,,Active,Retail All Alc.,2021-07-20,2022-12-31,"86 Mass Ave Wild Duck, Inc.",Wild Duck,NO NIPS SINGLES,"on one floor (3096 SF), consisting of a sales area with beverages and food displays, wine tasting area with bar-top seating, product gondolas, sixteen (16) product coolers, walk-in cooler, storage area with employee kitchen and lounge, restroom, and office.",,11:00 PM,,0.0," 86 Mass Ave Wild Duck, Inc.", Lalit Verma,(617)959-7932,,86-   Massachusetts AVE,Boston,MA,Back_Bay,767492.999990493,2952360.00000948
LB-446060,,Active,CV7 Malt Wine Restrict.,2021-07-20,2022-12-31,"Panda Legend, Inc.",Kao BBQ,,"The premises (located at 83-85 Harvard Ave)  is a single-story building with basement space; one entrance and two exits. The total square footage is about 2,200 with a seating capacity of 60.",,11:30 PM,12:00 AM,60.0," Panda Legend, Inc.",David Q Liu,(617)610-6679,,83-   Harvard AVE,Boston,MA,Allston,755534.506340576,2954062.1852393
LB-445817,,Active,CV7ALN - Neighborhood Restricted,2021-07-16,2022-12-31,Top Mix LLC,Top Mix Bar & Kitchen JP,,,,2:00 AM,2:30 AM,92.0, Top Mix LLC, Joseph Correia,(617)201-9853,,365-  Centre ST,Jamaica Plain,MA,Jamaica_Plain,762103.535836073,2942812.69741037
LB-414789,,Active,CV7 Malt Wine Liq. Restrict.,2021-07-13,2022-12-31,"Tasty Burger 6, LLC",Tasty Burger,Pursuant to chapter 383 Acts 2006,,,2:00 AM,2:30 AM,49.0," Tasty Burger 6, LLC", Christopher Gotreau,(617)425-4444,,48     Winter ST,Boston,MA,Beacon_Hill,774580.999997094,2955010.00001195
LB-451411,,Active,Retail Malt Wine,2021-07-09,2022-12-31,Gaslight District LLC,Main Street Pasta & Wine,,"It is one space consisting of two rooms, the room with windows on Main St will be the shop where fresh pasta is made and products sold.  The second room is smaller and will be used for storage. There is one employee lavatory.  All Shop space in on the ground level approx. 500 sqft. ",,10:00 PM,,0.0, Gaslight District LLC, MATTHEW DELISLE,(617)866-9282,,40-   Main ST,Boston,MA,Charlestown,774472.947687016,2961261.60591945
LB-451414,,Active,CV7 All Alc.,2021-07-06,2022-12-31,"JAHO, INC.",Jaho Coffee Roaster & Wine Bar,,,,2:00 AM,2:30 AM,19.0," Jaho, Inc.", Anil Mezini,(978)223-8689,,1651-   Washington ST,Boston,MA,South_End,770961.719558153,2948445.12054429
LB-446754,,Active,CV7 All Alc.,2021-06-30,2022-12-31,"Tall Ship Restaurant, LLC",,Capacity breakdown Seating capacity 750 Occupancy Number 1200,,,1:00 AM,1:30 AM,1200.0," Tall Ship Restaurant, LLC"," C. CHARLES LARNER, III",(813)785-5466,,1-  East Pier Dr,East Boston,MA,East_Boston,780157.45809907,2958311.77456978
LB-445992,,Active,CV7 All Alc.,2021-06-21,2022-12-31,"Bunker Hill Restaurant, LLC",Monument Diner,,"Total 1650 square feet on the first floor with restrooms, kitchen and bar. There is a preparation kitchen, restroom, and office in the basement which consist of 1,650 square feet. Total capacity of 79 occupants. (MAXIMUM CAPACITY OF 79-(65 SEATED; 14 STANDING)",,12:00 AM,12:30 AM,79.0," Bunker Hill Restaurant, LLC", Jon Sweeney,,,231-  Bunker Hill St,Charlestown,MA,Charlestown,774160.13435211,2963611.89455594
LB-447985,,Active,Retail Malt Wine,2021-06-18,2022-12-31,Anjana Corporation,Neighborhood Convenience,,"Retail Store on 1st Floor consisting of approximately 1100 square feet, storage located in basement and two arrears of egress. ",,11:00,,0.0, Anjana Corporation, MICHAEL GANNON,(617)268-6691,,165-   D ST,South Boston,MA,South_Boston,776982.41782333,2948020.34224544
LB-447983,,Active,CV7MWLN - Neighborhood Restricted,2021-06-17,2022-12-31,"LOWER MILLS RESTAURANT GROUP, LLC",Pat's Pizza,Capacity breakdown 34 Tables chairs amp 7 bar counters,,,10:00 PM,10:30 PM,41.0," LOWER MILLS RESTAURANT GROUP, LLC",Brendan Newell,,6176920910,2254-   Dorchester AVE,Dorchester,MA,Dorchester,773207.999995813,2924990.00001599
LB-447983,,Active,CV7MWLN - Neighborhood Restricted,2021-06-17,2022-12-31,"LOWER MILLS RESTAURANT GROUP, LLC",Pat's Pizza,Capacity breakdown 34 Tables chairs amp 7 bar counters,,,10:00 PM,10:30 PM,41.0," LOWER MILLS RESTAURANT GROUP, LLC", Patrick  Newell,,6176920910,2254-   Dorchester AVE,Dorchester,MA,Dorchester,773207.999995813,2924990.00001599
LB-445626,,Active,CV7 Malt Wine,2021-06-07,2022-12-31,Ash and Ben LLC,Sushi Kappo,,,,11:00 PM,11:30 PM,19.0, Ash and Ben LLC, Leidy N. Ferrufino,,,86-   Peterborough ST,Boston,MA,Fenway_Kenmore,764604.643204738,2950309.37151383
LB-445823,,Active,CV7 Malt Wine,2021-05-26,2022-12-31,Silver Nickel LLC,Union Park Pizza,,"A single story building with one front entrance and a separate back entrance.  The unit to be licensed consists of approximately 1329 sq. ft. with seating for 16.  There is a prep kitchen, one employee bathroom in the back of house and a pizza kitchen, counter and small dining room in the front of ",,11:00 PM,11:30 PM,16.0, Silver Nickel LLC, Joe Sylva,(617)855-1100,,1403-   Washington ST,Boston,MA,South_End,772331.651872165,2949687.38932505
LB-446829,,Active,Retail Malt Wine,2021-05-03,2022-12-31,"EBO & Co. Grocery, LLC.",EBO & Co. Grocery,,"1,400sf: In one main room on ground level, approx. 640sf on first floor with main entrance/exit on Meridian St. Approx. 760sf of basement space for minimal retail, storage and office space. ",,9:00 PM,,0.0," EBO & Co. Grocery, LLC.", ALEXIS CERVASIO,,,110-   Meridian ST,Boston,MA,East_Boston,780679.94387809,2961261.5034299
LB-386592,,Active,CV7 Malt Wine Liq.,2021-04-27,2022-12-31,Alliance World Corporation,La Catrina,,825 square foot premises consisting of 2 floors. Restaurant located on main floor and has 1 bathroom. Basement for office prep and alcohol storage.,,10:00 PM,10:30 PM,19.0, Alliance World Corporation," Eddie O. Garcia, Jr.",,(617)487-5060,1620-  Commonwealth AVE,Brighton,MA,Brighton,752787.453384802,2950374.90208763
LB-439777,,Active,CV7 Malt Wine,2021-04-13,2022-12-31,La Abundancia Bakery Corp,La Abundancia Restaurant,,"One (1) large room (835 Net Sq. Ft.) split into two (2) areas divided by a serving counter and a display counter.  On one side of the counters, the seating area consists of five (5) tables of four (4) and one (1) table of two (2) seats.  This area is approximately 385 square feet.  The area on the o",,12:30,1:00 AM,34.0, La Abundancia Bakery Corp,"Nuri, E. Nuri E. Garcia Montano",(617)874-8250,,59-  Meridian ST,East Boston,MA,East_Boston,780800.644834891,2960828.11886537
LB-436364,,Active,CV7 Malt Wine Liq.,2021-03-31,2022-12-31,MIMEBA Corp,El Penol Restaurant,,"Traditional layout 2 exits, 2 bathrooms both ADA accessible on one floor with one kitchen, one prep room and storage in the basement.",,9:00 PM,9:30 PM,49.0, MIMEBA CORP, MIGUEL A MEDINA,,,54-   Bennington ST,East Boston,MA,East_Boston,781244.000003308,2962309.99998675
LB-424993,,Active,CV7 All Alc.,2021-03-05,2022-12-31,"Boston Diner Group, LLC",Charlie's Sandwich Shoppe,Board acknowledged request to serve alcohol in conjunction with brunch on Sundays beginning 10 00 AM,"Kitchen, dining room with 1 entrance/exit on 1st floor basement with 1 entrance/exit. Approximately 2,267 sq. ft. total capacity 30.",,2:00 AM,2:30 AM,30.0," Boston Diner Group, LLC",Damian Marciante,(617)536-7669,,429-   Columbus AVE,Boston,MA,Back_Bay,770312.420473129,2950712.27968796
LB-433376,,Active,CV7 Malt Wine,2021-03-04,2022-12-31,"Eagles Deli,Inc.",Eagles Deli,,First floor with basement for storage + two bathrooms. 6:00 AM to 11:00 PM,6:00 AM,11:00 PM,11:30 PM,60.0," EAGLES DELI, INC.", Yousaf Osmani,,(617)731-3232,1918-  Beacon ST,Brighton,MA,Brighton,750989.195271134,2947855.08557329
LB-441473,,Active,CV7 Malt Wine,2020-12-11,2022-12-31,"NEWPOINT USA, LLC",My Happy Hunan Kitchen,,"A single story building attached to the left and right units with a front entrance and a back entrance.  The units to be licensed consist of approximately 3.992 sq. ft.  There is a kitchen, two bathrooms, and one large room for dining and a second smaller room for dining, together holding approximat",,10:00 PM,10:30 PM,120.0," New Point USA, LLC", Frank Zhang,(646)637-4227,,1924-  Beacon ST,Brighton,MA,Brighton,750912.596598257,2947814.74005334
LB-424338,,Active,CV7 All Alc. Restrict.,2020-11-30,2022-12-31,"Jamaica Mi Hungry, LLC",Jamaica Mi Hungry,,"Single floor operation with one dining room 32 person occupancy, Seasonal (April-October) outdoor patio on private property seating for 15 people (approx 150 sq. ft.).",,1:00 AM,1:30 AM,32.0," Jamaica Mi Hungry, LLC",Ernie Campbell,(617)259-8017,,225     Centre ST,Jamaica Plain,MA,Jamaica_Plain,764594.75325463,2943017.19682979
LB-432435,,Active,CV7 Malt Wine Liq. Restrict.,2020-11-27,2022-12-31,"J-Pizzle Boston, LLC",J-Pizle Kitchen,,In one room on the first floor with kitchen in the rear and storage in the basement.,7:00 AM,9:00 PM,9:30 PM,26.0, J-Pizzle Boston LLC, Cindy Villada-Toro,(617)524-7575,,536-  Centre ST,Jamaica Plain,MA,Jamaica_Plain,760760.468720228,2940729.08342265
LB-439874,,Active,CV7 Malt Wine Liq. Restrict.,2020-11-23,2022-12-31,"Cafe Bonjour, Inc.",Cafe Bonjour,,,,10:00 PM,10:30 PM,16.0," Cafe Bonjour, Inc.", Driss Elmokri,(781)475-4024,,55-  Temple PL,Boston,MA,Chinatown_Financial_District,774634.434785981,2954667.11436915
LB-414874,,Active,CV7 All Alc. Airp.,2020-11-16,2022-12-31,"Delaware North Boston Flight, LLC",Alta Strada,,"Restaurant/full bar concept in Terminal A, Space AM2-A03/29. On one floor in one room. Total square footage 2,643. Total seating 24 at bar (22 seats plus 2 ADA) 68 table seats.",,2:00 AM,2:30 AM,106.0," Delaware North Boston Flight, LLC", Mark V. Clemency,,,100     Terminal RD,East Boston,MA,East_Boston,785396.803968415,2958229.8427222
LB-434282,,Active,Retail All Alc.,2020-11-02,2022-12-31,"Blue Hills Liquors, Inc.",Discount Liquors,NO NIPS,"Front area for sales, rear for storage separated by walk in cooler",,11:00 PM,,0.0," Blue Hills Liquors, Inc.", Narendrakumar Patel,,,950     American Legion HWY,Roslindale,MA,Roslindale,760421.080454222,2925470.22564325
